Month,Year,SKUW1,SKUW2,SKUW3,SKUA1,SKUA2,SKUA3,SKUT1,SKUT2,SKUT3,SKUT4,SKUD1,SKUD2,SKUD3,SKUC1,SKUC2,SKUE1,SKUE2,SKUE3
January,2026,21440,28159,27136,12495,15406,31657,22821,37530,20175,18741,41374,29450,39063,50731,40169,31574,38560,4578
February,2026,22723,31892,25368,12844,18857,34793,26032,37105,21954,20527,52469,31190,38678,51020,43194,34231,40275,4808
March,2026,23094,28675,28911,14838,17997,37960,26793,33242,26330,21640,49754,29659,40639,53835,42117,39115,42001,4559
April,2026,25617,30054,26017,15727,20205,37768,25705,42550,25835,21394,51721,33343,45768,56743,46718,35970,42225,5110
May,2026,26885,32068,28760,16961,21530,39644,28925,45701,30206,25306,53438,34128,50107,58540,48801,38784,47515,5647
June,2026,31364,33993,32455,18750,28142,48071,31370,34873,32130,28510,65106,36854,49345,67168,57593,44355,49935,6125
July,2026,31636,36789,40720,18469,29404,50810,37892,54887,35384,29018,74168,43381,62359,71837,56157,51685,55332,6271
August,2026,40241,52619,45016,24928,40386,67032,46921,48657,37466,35525,78873,47070,74200,86482,77715,63332,66820,7963
September,2026,33897,38951,39432,20707,23709,47810,34245,42667,32454,28730,66358,42004,58137,73791,56617,50163,57133,6329
October,2026,27396,43290,34112,15659,19162,40795,27989,33438,26984,25403,50697,32129,49882,57601,46978,40911,44737,5180
November,2026,25020,41661,31394,14906,25512,43715,30309,40897,27279,23385,52540,32464,45511,57491,44994,36755,42124,5203
December,2026,25101,33474,31095,13785,18211,42302,28766,42258,24006,24053,55600,29227,45287,56287,45351,36763,42842,4645
January,2027,26760,30907,29969,14360,25209,38156,26555,37439,25588,21635,49752,29758,41404,54931,45492,39812,43609,4913
February,2027,28332,38971,34053,16342,25047,46109,32426,31474,25097,25294,51756,34888,45073,60986,51398,37848,43678,5492
March,2027,29889,42244,36851,16268,20200,49107,30994,45097,26845,26148,56511,34780,46653,61922,46480,43793,47506,5409
April,2027,29771,37578,40248,16456,27402,48608,35726,43966,28868,28553,59626,35361,55700,66759,50510,43502,50136,5763
May,2027,33594,43327,42338,18400,24342,53103,36551,49396,34754,26451,70789,36434,51378,67620,54686,49458,55744,6403
June,2027,37079,48999,38956,18498,26841,56638,36691,48424,33223,30358,68219,42511,63471,74208,58525,52920,59378,6489
July,2027,38648,47327,52427,21592,30852,57430,44793,63452,41007,35495,79126,43866,61652,85101,61644,60102,65291,7437
August,2027,45688,83418,58845,27316,44525,67083,54724,68734,46672,42326,87896,57804,83101,106740,75275,71184,80521,9099
September,2027,36524,46660,44837,20003,34749,51735,40669,59292,33118,32740,75929,48494,59569,77726,63970,57397,60578,7281
October,2027,32650,52055,44640,18225,28007,48992,35747,44869,31862,26512,67131,39357,55298,67124,55039,50458,54645,6446
November,2027,31141,43802,39265,17307,23838,49589,34666,47556,27276,24767,62278,37510,49379,67649,55595,46385,49543,5793
December,2027,30525,40614,34265,15836,22476,42803,28951,44854,26622,25322,55959,34884,46751,63921,46249,42728,49486,5629
January,2028,28642,37562,38773,15157,24924,49271,30545,48905,28569,27349,56423,33237,54668,61795,51521,45604,48715,5704
