SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,42,28,35,32,40
SKUW2,International,34,42,28,35,32,40
SKUW3,International,34,42,28,35,32,40
SKUA1,Domestic,5,5,11,11,9,9
SKUA2,Domestic,5,5,11,11,9,9
SKUA3,Domestic,5,5,11,11,9,9
SKUT1,Domestic,8,8,3,3,7,7
SKUT2,Domestic,8,8,3,3,7,7
SKUT3,Domestic,8,8,3,3,7,7
SKUT4,Domestic,8,8,3,3,7,7
SKUD1,Domestic,7,7,10,10,8,8
SKUD2,Domestic,7,7,10,10,8,8
SKUD3,Domestic,7,7,10,10,8,8
SKUC1,Domestic,6,6,15,15,11,11
SKUC2,Domestic,6,6,15,15,11,11
SKUE1,International,37,46,31,38,35,43
SKUE2,International,37,46,31,38,35,43
SKUE3,International,37,46,31,38,35,43
