SKU Number,Supplier Type,Lead Time - Columbus,Columbus - Days on Hand,Lead Time - Sacramento,Sacramento - Days on Hand,Lead Time - Austin,Austin Days on Hand
SKUW1,International,34,27.720778070341346,28,27.720778070341346,32,27.720778070341346
SKUW2,International,34,27.720778070341346,28,27.720778070341346,32,27.720778070341346
SKUW3,International,34,27.720778070341346,28,27.720778070341346,32,27.720778070341346
SKUA1,Domestic,5,17.720778070341346,11,17.720778070341346,9,17.720778070341346
SKUA2,Domestic,5,17.720778070341346,11,17.720778070341346,9,17.720778070341346
SKUA3,Domestic,5,17.720778070341346,11,17.720778070341346,9,17.720778070341346
SKUT1,Domestic,8,17.720778070341346,3,17.720778070341346,7,17.720778070341346
SKUT2,Domestic,8,17.720778070341346,3,17.720778070341346,7,17.720778070341346
SKUT3,Domestic,8,17.720778070341346,3,17.720778070341346,7,17.720778070341346
SKUT4,Domestic,8,17.720778070341346,3,17.720778070341346,7,17.720778070341346
SKUD1,Domestic,7,17.720778070341346,10,17.720778070341346,8,17.720778070341346
SKUD2,Domestic,7,17.720778070341346,10,17.720778070341346,8,17.720778070341346
SKUD3,Domestic,7,17.720778070341346,10,17.720778070341346,8,17.720778070341346
SKUC1,Domestic,6,17.720778070341346,15,17.720778070341346,11,17.720778070341346
SKUC2,Domestic,6,17.720778070341346,15,17.720778070341346,11,17.720778070341346
SKUE1,International,37,27.720778070341346,31,27.720778070341346,35,27.720778070341346
SKUE2,International,37,27.720778070341346,31,27.720778070341346,35,27.720778070341346
SKUE3,International,37,27.720778070341346,31,27.720778070341346,35,27.720778070341346
