Config_ID,Facility,Storage_Type,SKU,Packages_per_Item,Items_per_Shelf,Total_Packages_per_Shelf,Weight_per_Package,Total_Weight,Units_per_Package,Config_Type
1,Columbus,Bins,SKUW1,12,1,12,1.0,12.0,12,Mixed_SKU_Discrete
2,Columbus,Bins,SKUW2,6,1,6,2.0,12.0,12,Mixed_SKU_Discrete
3,Columbus,Bins,SKUW3,6,1,6,2.0,12.0,12,Mixed_SKU_Discrete
4,Columbus,Bins,SKUE1,6,1,6,0.25,1.5,1,Mixed_SKU_Discrete
5,Columbus,Racking,SKUA3,3,8,24,10.0,240.0,100,Mixed_SKU_Discrete
6,Columbus,Racking,SKUT1,5,8,40,8.0,320.0,1,Mixed_SKU_Discrete
7,Columbus,Racking,SKUT4,5,8,40,8.0,320.0,1,Mixed_SKU_Discrete
8,Columbus,Pallet,SKUT2,16,7,112,8.0,896.0,1,Mixed_SKU_Discrete
9,Columbus,Pallet,SKUT3,16,7,112,8.0,896.0,1,Mixed_SKU_Discrete
10,Columbus,Pallet,SKUD1,9,7,63,30.0,1890.0,1,Mixed_SKU_Discrete
11,Columbus,Pallet,SKUD2,2,7,14,75.0,1050.0,1,Mixed_SKU_Discrete
12,Columbus,Pallet,SKUD3,1,7,7,35.0,245.0,1,Mixed_SKU_Discrete
13,Columbus,Pallet,SKUC1,2,7,14,60.0,840.0,1,Mixed_SKU_Discrete
14,Columbus,Pallet,SKUC2,9,7,63,20.0,1260.0,3,Mixed_SKU_Discrete
15,Columbus,Pallet,SKUE2,16,7,112,8.0,896.0,1,Mixed_SKU_Discrete
16,Columbus,Pallet,SKUE3,12,7,84,15.0,1260.0,1,Mixed_SKU_Discrete
17,Columbus,Hazmat,SKUA1,15,8,120,2.0,240.0,3,Mixed_SKU_Discrete
18,Columbus,Hazmat,SKUA2,7,8,56,2.0,112.0,7,Mixed_SKU_Discrete
19,Sacramento,Bins,SKUW1,12,3,36,1.0,36.0,12,Mixed_SKU_Discrete
20,Sacramento,Bins,SKUW2,6,3,18,2.0,36.0,12,Mixed_SKU_Discrete
21,Sacramento,Bins,SKUW3,6,3,18,2.0,36.0,12,Mixed_SKU_Discrete
22,Sacramento,Bins,SKUE1,6,3,18,0.25,4.5,1,Mixed_SKU_Discrete
23,Sacramento,Racking,SKUA3,3,8,24,10.0,240.0,100,Mixed_SKU_Discrete
24,Sacramento,Racking,SKUT1,5,8,40,8.0,320.0,1,Mixed_SKU_Discrete
25,Sacramento,Racking,SKUT4,5,8,40,8.0,320.0,1,Mixed_SKU_Discrete
26,Sacramento,Pallet,SKUT2,16,4,64,8.0,512.0,1,Mixed_SKU_Discrete
27,Sacramento,Pallet,SKUT3,16,4,64,8.0,512.0,1,Mixed_SKU_Discrete
28,Sacramento,Pallet,SKUD1,9,4,36,30.0,1080.0,1,Mixed_SKU_Discrete
29,Sacramento,Pallet,SKUD2,2,4,8,75.0,600.0,1,Mixed_SKU_Discrete
30,Sacramento,Pallet,SKUD3,1,4,4,35.0,140.0,1,Mixed_SKU_Discrete
31,Sacramento,Pallet,SKUC1,2,4,8,60.0,480.0,1,Mixed_SKU_Discrete
32,Sacramento,Pallet,SKUC2,9,4,36,20.0,720.0,3,Mixed_SKU_Discrete
33,Sacramento,Pallet,SKUE2,16,4,64,8.0,512.0,1,Mixed_SKU_Discrete
34,Sacramento,Pallet,SKUE3,12,4,48,15.0,720.0,1,Mixed_SKU_Discrete
35,Sacramento,Hazmat,SKUA1,15,8,120,2.0,240.0,3,Mixed_SKU_Discrete
36,Sacramento,Hazmat,SKUA2,7,8,56,2.0,112.0,7,Mixed_SKU_Discrete
37,Austin,Bins,SKUW1,12,3,36,1.0,36.0,12,Mixed_SKU_Discrete
38,Austin,Bins,SKUW2,6,3,18,2.0,36.0,12,Mixed_SKU_Discrete
39,Austin,Bins,SKUW3,6,3,18,2.0,36.0,12,Mixed_SKU_Discrete
40,Austin,Bins,SKUE1,6,3,18,0.25,4.5,1,Mixed_SKU_Discrete
41,Austin,Racking,SKUA3,3,8,24,10.0,240.0,100,Mixed_SKU_Discrete
42,Austin,Racking,SKUT1,5,8,40,8.0,320.0,1,Mixed_SKU_Discrete
43,Austin,Racking,SKUT4,5,8,40,8.0,320.0,1,Mixed_SKU_Discrete
44,Austin,Pallet,SKUT2,16,6,96,8.0,768.0,1,Mixed_SKU_Discrete
45,Austin,Pallet,SKUT3,16,6,96,8.0,768.0,1,Mixed_SKU_Discrete
46,Austin,Pallet,SKUD1,9,6,54,30.0,1620.0,1,Mixed_SKU_Discrete
47,Austin,Pallet,SKUD2,2,6,12,75.0,900.0,1,Mixed_SKU_Discrete
48,Austin,Pallet,SKUD3,1,6,6,35.0,210.0,1,Mixed_SKU_Discrete
49,Austin,Pallet,SKUC1,2,6,12,60.0,720.0,1,Mixed_SKU_Discrete
50,Austin,Pallet,SKUC2,9,6,54,20.0,1080.0,3,Mixed_SKU_Discrete
51,Austin,Pallet,SKUE2,16,6,96,8.0,768.0,1,Mixed_SKU_Discrete
52,Austin,Pallet,SKUE3,12,6,72,15.0,1080.0,1,Mixed_SKU_Discrete
53,Austin,Hazmat,SKUA1,15,8,120,2.0,240.0,3,Mixed_SKU_Discrete
54,Austin,Hazmat,SKUA2,7,8,56,2.0,112.0,7,Mixed_SKU_Discrete
55,Columbus,Pallet,SKUD3,22,1,22,35.0,770.0,1,Mixed_SKU_Discrete
56,Columbus,Pallet,SKUC1,20,1,20,60.0,1200.0,1,Mixed_SKU_Discrete
57,Columbus,Bins,SKUW1,60,1,60,1.0,60.0,1,Pure_SKU_Discrete
58,Columbus,Bins,SKUW2,30,1,30,2.0,60.0,1,Pure_SKU_Discrete
59,Columbus,Bins,SKUW3,30,1,30,2.0,60.0,1,Pure_SKU_Discrete
60,Columbus,Bins,SKUA1,30,1,30,2.0,60.0,1,Pure_SKU_Discrete
61,Columbus,Bins,SKUA2,30,1,30,2.0,60.0,1,Pure_SKU_Discrete
62,Columbus,Bins,SKUA3,6,1,6,10.0,60.0,1,Pure_SKU_Discrete
63,Columbus,Bins,SKUT1,7,1,7,8.0,56.0,1,Pure_SKU_Discrete
64,Columbus,Bins,SKUT2,7,1,7,8.0,56.0,1,Pure_SKU_Discrete
65,Columbus,Bins,SKUT3,7,1,7,8.0,56.0,1,Pure_SKU_Discrete
66,Columbus,Bins,SKUT4,7,1,7,8.0,56.0,1,Pure_SKU_Discrete
67,Columbus,Bins,SKUD1,1,1,1,30.0,30.0,1,Pure_SKU_Discrete
68,Columbus,Bins,SKUC2,1,1,1,20.0,20.0,1,Pure_SKU_Discrete
69,Columbus,Bins,SKUE1,240,1,240,0.25,60.0,1,Pure_SKU_Discrete
70,Columbus,Bins,SKUE2,7,1,7,8.0,56.0,1,Pure_SKU_Discrete
71,Columbus,Bins,SKUE3,4,1,4,15.0,60.0,1,Pure_SKU_Discrete
72,Columbus,Racking,SKUW1,100,8,800,1.0,800.0,1,Pure_SKU_Discrete
73,Columbus,Racking,SKUW2,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
74,Columbus,Racking,SKUW3,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
75,Columbus,Racking,SKUA1,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
76,Columbus,Racking,SKUA2,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
77,Columbus,Racking,SKUA3,10,8,80,10.0,800.0,1,Pure_SKU_Discrete
78,Columbus,Racking,SKUT1,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
79,Columbus,Racking,SKUT2,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
80,Columbus,Racking,SKUT3,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
81,Columbus,Racking,SKUT4,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
82,Columbus,Racking,SKUD1,1,8,8,30.0,240.0,1,Pure_SKU_Discrete
83,Columbus,Racking,SKUD2,1,1,1,75.0,75.0,1,Pure_SKU_Continuous_Furniture
84,Columbus,Racking,SKUC1,1,1,1,60.0,60.0,1,Pure_SKU_Continuous_Furniture
85,Columbus,Racking,SKUC2,1,8,8,20.0,160.0,1,Pure_SKU_Discrete
86,Columbus,Racking,SKUE1,400,8,3200,0.25,800.0,1,Pure_SKU_Discrete
87,Columbus,Racking,SKUE2,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
88,Columbus,Racking,SKUE3,5,8,40,15.0,600.0,1,Pure_SKU_Discrete
89,Columbus,Pallet,SKUW1,600,7,4200,1.0,4200.0,1,Pure_SKU_Discrete
90,Columbus,Pallet,SKUW2,300,7,2100,2.0,4200.0,1,Pure_SKU_Discrete
91,Columbus,Pallet,SKUW3,300,7,2100,2.0,4200.0,1,Pure_SKU_Discrete
92,Columbus,Pallet,SKUA1,300,7,2100,2.0,4200.0,1,Pure_SKU_Discrete
93,Columbus,Pallet,SKUA2,300,7,2100,2.0,4200.0,1,Pure_SKU_Discrete
94,Columbus,Pallet,SKUA3,60,7,420,10.0,4200.0,1,Pure_SKU_Discrete
95,Columbus,Pallet,SKUT1,75,7,525,8.0,4200.0,1,Pure_SKU_Discrete
96,Columbus,Pallet,SKUT2,75,7,525,8.0,4200.0,1,Pure_SKU_Discrete
97,Columbus,Pallet,SKUT3,75,7,525,8.0,4200.0,1,Pure_SKU_Discrete
98,Columbus,Pallet,SKUT4,75,7,525,8.0,4200.0,1,Pure_SKU_Discrete
99,Columbus,Pallet,SKUD1,20,7,140,30.0,4200.0,1,Pure_SKU_Discrete
100,Columbus,Pallet,SKUD2,51,1,51,75.0,3825.0,1,Pure_SKU_Continuous_Furniture
101,Columbus,Pallet,SKUD3,8,7,56,35.0,1960.0,1,Pure_SKU_Discrete
102,Columbus,Pallet,SKUC1,45,1,45,60.0,2700.0,1,Pure_SKU_Continuous_Furniture
103,Columbus,Pallet,SKUC2,30,7,210,20.0,4200.0,1,Pure_SKU_Discrete
104,Columbus,Pallet,SKUE1,2400,7,16800,0.25,4200.0,1,Pure_SKU_Discrete
105,Columbus,Pallet,SKUE2,75,7,525,8.0,4200.0,1,Pure_SKU_Discrete
106,Columbus,Pallet,SKUE3,40,7,280,15.0,4200.0,1,Pure_SKU_Discrete
107,Sacramento,Bins,SKUW1,30,3,90,1.0,90.0,1,Pure_SKU_Discrete
108,Sacramento,Bins,SKUW2,15,3,45,2.0,90.0,1,Pure_SKU_Discrete
109,Sacramento,Bins,SKUW3,15,3,45,2.0,90.0,1,Pure_SKU_Discrete
110,Sacramento,Bins,SKUA1,15,3,45,2.0,90.0,1,Pure_SKU_Discrete
111,Sacramento,Bins,SKUA2,15,3,45,2.0,90.0,1,Pure_SKU_Discrete
112,Sacramento,Bins,SKUA3,3,3,9,10.0,90.0,1,Pure_SKU_Discrete
113,Sacramento,Bins,SKUT1,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
114,Sacramento,Bins,SKUT2,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
115,Sacramento,Bins,SKUT3,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
116,Sacramento,Bins,SKUT4,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
117,Sacramento,Bins,SKUC2,1,3,3,20.0,60.0,1,Pure_SKU_Discrete
118,Sacramento,Bins,SKUE1,120,3,360,0.25,90.0,1,Pure_SKU_Discrete
119,Sacramento,Bins,SKUE2,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
120,Sacramento,Bins,SKUE3,2,3,6,15.0,90.0,1,Pure_SKU_Discrete
121,Sacramento,Racking,SKUW1,100,8,800,1.0,800.0,1,Pure_SKU_Discrete
122,Sacramento,Racking,SKUW2,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
123,Sacramento,Racking,SKUW3,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
124,Sacramento,Racking,SKUA1,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
125,Sacramento,Racking,SKUA2,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
126,Sacramento,Racking,SKUA3,10,8,80,10.0,800.0,1,Pure_SKU_Discrete
127,Sacramento,Racking,SKUT1,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
128,Sacramento,Racking,SKUT2,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
129,Sacramento,Racking,SKUT3,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
130,Sacramento,Racking,SKUT4,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
131,Sacramento,Racking,SKUD1,1,8,8,30.0,240.0,1,Pure_SKU_Discrete
132,Sacramento,Racking,SKUD2,1,1,1,75.0,75.0,1,Pure_SKU_Continuous_Furniture
133,Sacramento,Racking,SKUC1,1,1,1,60.0,60.0,1,Pure_SKU_Continuous_Furniture
134,Sacramento,Racking,SKUC2,1,8,8,20.0,160.0,1,Pure_SKU_Discrete
135,Sacramento,Racking,SKUE1,400,8,3200,0.25,800.0,1,Pure_SKU_Discrete
136,Sacramento,Racking,SKUE2,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
137,Sacramento,Racking,SKUE3,5,8,40,15.0,600.0,1,Pure_SKU_Discrete
138,Sacramento,Pallet,SKUW1,600,4,2400,1.0,2400.0,1,Pure_SKU_Discrete
139,Sacramento,Pallet,SKUW2,300,4,1200,2.0,2400.0,1,Pure_SKU_Discrete
140,Sacramento,Pallet,SKUW3,300,4,1200,2.0,2400.0,1,Pure_SKU_Discrete
141,Sacramento,Pallet,SKUA1,300,4,1200,2.0,2400.0,1,Pure_SKU_Discrete
142,Sacramento,Pallet,SKUA2,300,4,1200,2.0,2400.0,1,Pure_SKU_Discrete
143,Sacramento,Pallet,SKUA3,60,4,240,10.0,2400.0,1,Pure_SKU_Discrete
144,Sacramento,Pallet,SKUT1,75,4,300,8.0,2400.0,1,Pure_SKU_Discrete
145,Sacramento,Pallet,SKUT2,75,4,300,8.0,2400.0,1,Pure_SKU_Discrete
146,Sacramento,Pallet,SKUT3,75,4,300,8.0,2400.0,1,Pure_SKU_Discrete
147,Sacramento,Pallet,SKUT4,75,4,300,8.0,2400.0,1,Pure_SKU_Discrete
148,Sacramento,Pallet,SKUD1,20,4,80,30.0,2400.0,1,Pure_SKU_Discrete
149,Sacramento,Pallet,SKUD2,25,1,25,75.0,1875.0,1,Pure_SKU_Continuous_Furniture
150,Sacramento,Pallet,SKUD3,7,4,28,35.0,980.0,1,Pure_SKU_Discrete
151,Sacramento,Pallet,SKUC1,22,1,22,60.0,1320.0,1,Pure_SKU_Continuous_Furniture
152,Sacramento,Pallet,SKUC2,30,4,120,20.0,2400.0,1,Pure_SKU_Discrete
153,Sacramento,Pallet,SKUE1,2400,4,9600,0.25,2400.0,1,Pure_SKU_Discrete
154,Sacramento,Pallet,SKUE2,75,4,300,8.0,2400.0,1,Pure_SKU_Discrete
155,Sacramento,Pallet,SKUE3,40,4,160,15.0,2400.0,1,Pure_SKU_Discrete
156,Austin,Bins,SKUW1,30,3,90,1.0,90.0,1,Pure_SKU_Discrete
157,Austin,Bins,SKUW2,15,3,45,2.0,90.0,1,Pure_SKU_Discrete
158,Austin,Bins,SKUW3,15,3,45,2.0,90.0,1,Pure_SKU_Discrete
159,Austin,Bins,SKUA1,15,3,45,2.0,90.0,1,Pure_SKU_Discrete
160,Austin,Bins,SKUA2,15,3,45,2.0,90.0,1,Pure_SKU_Discrete
161,Austin,Bins,SKUA3,3,3,9,10.0,90.0,1,Pure_SKU_Discrete
162,Austin,Bins,SKUT1,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
163,Austin,Bins,SKUT2,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
164,Austin,Bins,SKUT3,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
165,Austin,Bins,SKUT4,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
166,Austin,Bins,SKUC2,1,3,3,20.0,60.0,1,Pure_SKU_Discrete
167,Austin,Bins,SKUE1,120,3,360,0.25,90.0,1,Pure_SKU_Discrete
168,Austin,Bins,SKUE2,3,3,9,8.0,72.0,1,Pure_SKU_Discrete
169,Austin,Bins,SKUE3,2,3,6,15.0,90.0,1,Pure_SKU_Discrete
170,Austin,Racking,SKUW1,100,8,800,1.0,800.0,1,Pure_SKU_Discrete
171,Austin,Racking,SKUW2,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
172,Austin,Racking,SKUW3,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
173,Austin,Racking,SKUA1,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
174,Austin,Racking,SKUA2,50,8,400,2.0,800.0,1,Pure_SKU_Discrete
175,Austin,Racking,SKUA3,10,8,80,10.0,800.0,1,Pure_SKU_Discrete
176,Austin,Racking,SKUT1,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
177,Austin,Racking,SKUT2,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
178,Austin,Racking,SKUT3,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
179,Austin,Racking,SKUT4,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
180,Austin,Racking,SKUD1,1,8,8,30.0,240.0,1,Pure_SKU_Discrete
181,Austin,Racking,SKUD2,1,1,1,75.0,75.0,1,Pure_SKU_Continuous_Furniture
182,Austin,Racking,SKUC1,1,1,1,60.0,60.0,1,Pure_SKU_Continuous_Furniture
183,Austin,Racking,SKUC2,1,8,8,20.0,160.0,1,Pure_SKU_Discrete
184,Austin,Racking,SKUE1,400,8,3200,0.25,800.0,1,Pure_SKU_Discrete
185,Austin,Racking,SKUE2,12,8,96,8.0,768.0,1,Pure_SKU_Discrete
186,Austin,Racking,SKUE3,5,8,40,15.0,600.0,1,Pure_SKU_Discrete
187,Austin,Pallet,SKUW1,600,6,3600,1.0,3600.0,1,Pure_SKU_Discrete
188,Austin,Pallet,SKUW2,300,6,1800,2.0,3600.0,1,Pure_SKU_Discrete
189,Austin,Pallet,SKUW3,300,6,1800,2.0,3600.0,1,Pure_SKU_Discrete
190,Austin,Pallet,SKUA1,300,6,1800,2.0,3600.0,1,Pure_SKU_Discrete
191,Austin,Pallet,SKUA2,300,6,1800,2.0,3600.0,1,Pure_SKU_Discrete
192,Austin,Pallet,SKUA3,60,6,360,10.0,3600.0,1,Pure_SKU_Discrete
193,Austin,Pallet,SKUT1,75,6,450,8.0,3600.0,1,Pure_SKU_Discrete
194,Austin,Pallet,SKUT2,75,6,450,8.0,3600.0,1,Pure_SKU_Discrete
195,Austin,Pallet,SKUT3,75,6,450,8.0,3600.0,1,Pure_SKU_Discrete
196,Austin,Pallet,SKUT4,75,6,450,8.0,3600.0,1,Pure_SKU_Discrete
197,Austin,Pallet,SKUD1,20,6,120,30.0,3600.0,1,Pure_SKU_Discrete
198,Austin,Pallet,SKUD2,38,1,38,75.0,2850.0,1,Pure_SKU_Continuous_Furniture
199,Austin,Pallet,SKUD3,7,6,42,35.0,1470.0,1,Pure_SKU_Discrete
200,Austin,Pallet,SKUC1,34,1,34,60.0,2040.0,1,Pure_SKU_Continuous_Furniture
201,Austin,Pallet,SKUC2,30,6,180,20.0,3600.0,1,Pure_SKU_Discrete
202,Austin,Pallet,SKUE1,2400,6,14400,0.25,3600.0,1,Pure_SKU_Discrete
203,Austin,Pallet,SKUE2,75,6,450,8.0,3600.0,1,Pure_SKU_Discrete
204,Austin,Pallet,SKUE3,40,6,240,15.0,3600.0,1,Pure_SKU_Discrete
