sku,peak_inventory,avg_inventory,peak_to_avg_ratio,num_delayed_deliveries,total_delay_days,days_above_baseline,pct_days_above_baseline,simulation,k_factor,mean_delay,scenario
TotalInventory_Sim1,2672795.238095246,973064.9661942584,2.7467798461070694,88,255.87181576227124,84,3.3333333333333335,1,0.1,3.0,Low Disruption
TotalInventory_Sim2,3362390.285714296,1133656.792403629,2.965968455572174,91,313.661793179876,296,11.746031746031745,2,0.1,3.0,Low Disruption
TotalInventory_Sim3,3138436.857142864,926492.4553665924,3.387439194959288,83,268.3546833976535,44,1.746031746031746,3,0.1,3.0,Low Disruption
TotalInventory_Sim4,2351236.7142857164,898141.2980725629,2.6178917719645427,90,246.2791832957697,10,0.3968253968253968,4,0.1,3.0,Low Disruption
TotalInventory_Sim5,2291711.571428573,890762.6703892676,2.572752145559809,94,269.3837349276028,35,1.3888888888888888,5,0.1,3.0,Low Disruption
TotalInventory_Sim6,3164570.857142861,882093.9859410455,3.58756652644763,87,245.20356269333377,34,1.3492063492063493,6,0.1,3.0,Low Disruption
TotalInventory_Sim7,2464291.9999999995,930429.6828798192,2.6485526476032524,82,250.63795110189633,62,2.4603174603174605,7,0.1,3.0,Low Disruption
TotalInventory_Sim8,3519518.8571428577,1062827.8161564637,3.311466639883965,88,284.24853273894456,217,8.61111111111111,8,0.1,3.0,Low Disruption
TotalInventory_Sim9,2937448.571428575,1106564.760487531,2.6545654410089763,84,274.9674379091248,216,8.571428571428571,9,0.1,3.0,Low Disruption
TotalInventory_Sim10,3048429.190476198,1030493.3152683314,2.9582231590531123,85,279.22245650725154,150,5.952380952380952,10,0.1,3.0,Low Disruption
TotalInventory_Sim11,3065132.1904761917,928008.3247732429,3.3029145414456824,89,267.6513658685253,36,1.4285714285714286,11,0.1,3.0,Low Disruption
TotalInventory_Sim12,3335138.857142866,1152527.6230536695,2.893760453485946,78,239.09743819544374,352,13.968253968253968,12,0.1,3.0,Low Disruption
TotalInventory_Sim13,3004576.761904767,909372.308503402,3.3040117164437786,89,285.81325200132426,28,1.1111111111111112,13,0.1,3.0,Low Disruption
TotalInventory_Sim14,2866275.4761904804,836796.7256046867,3.4252948039671764,84,215.54885306505665,5,0.1984126984126984,14,0.1,3.0,Low Disruption
TotalInventory_Sim15,2546879.4285714296,901506.1966742264,2.825138016762612,91,282.9505487208212,46,1.8253968253968256,15,0.1,3.0,Low Disruption
TotalInventory_Sim16,2993091.4285714366,973146.2359410452,3.0756851519618507,87,232.01640680366543,62,2.4603174603174605,16,0.1,3.0,Low Disruption
TotalInventory_Sim17,3269418.857142866,1088208.0341836754,3.0044061010773886,85,277.25913464470534,290,11.507936507936508,17,0.1,3.0,Low Disruption
TotalInventory_Sim18,3339662.428571431,1296155.4098072571,2.5765910501951694,84,262.1960963963347,675,26.785714285714285,18,0.1,3.0,Low Disruption
TotalInventory_Sim19,2726724.285714289,1086330.392573696,2.510032218885296,91,318.9170122531645,240,9.523809523809524,19,0.1,3.0,Low Disruption
TotalInventory_Sim20,2776449.333333333,950197.6064247924,2.921970455998078,90,285.20378291439965,41,1.6269841269841272,20,0.1,3.0,Low Disruption
TotalInventory_Sim21,2667090.0952380965,896582.8905139844,2.974727851107144,83,280.0240559497277,4,0.15873015873015872,21,0.1,3.0,Low Disruption
TotalInventory_Sim22,2492648.0000000014,855188.2137944072,2.914736147894632,83,258.15401632872477,4,0.15873015873015872,22,0.1,3.0,Low Disruption
TotalInventory_Sim23,3027560.3809523834,1132639.285128497,2.673013748246344,84,261.7517456607722,401,15.912698412698411,23,0.1,3.0,Low Disruption
TotalInventory_Sim24,2779135.952380955,855620.2451436141,3.248095131169416,96,296.45188343436166,8,0.31746031746031744,24,0.1,3.0,Low Disruption
TotalInventory_Sim25,3036740.714285716,1021466.4665343919,2.972922571397474,88,285.5869245716889,111,4.404761904761905,25,0.1,3.0,Low Disruption
