sku,peak_inventory,avg_inventory,peak_to_avg_ratio,num_delayed_deliveries,num_shipped_immediately,total_delay_days,days_above_baseline,pct_days_above_baseline,shipment_balance_ok,simulation,k_factor,mean_delay,scenario
TotalInventory_Sim1,2365905,140437.87936507937,16.84663005947023,88,21,255.87181576227124,0,0.0,True,1,0.1,3.0,Low Disruption
TotalInventory_Sim2,1823494,131277.05317460318,13.890424532722315,91,26,313.661793179876,0,0.0,True,2,0.1,3.0,Low Disruption
TotalInventory_Sim3,2365905,136626.00158730158,17.316652558907162,83,19,268.3546833976535,0,0.0,True,3,0.1,3.0,Low Disruption
TotalInventory_Sim4,2106228,139280.1246031746,15.12224379466123,90,20,246.2791832957697,0,0.0,True,4,0.1,3.0,Low Disruption
TotalInventory_Sim5,1823494,128262.78492063492,14.21685956006898,94,27,269.3837349276028,0,0.0,True,5,0.1,3.0,Low Disruption
TotalInventory_Sim6,2365905,139890.82976190475,16.912509590705753,87,24,245.20356269333377,0,0.0,True,6,0.1,3.0,Low Disruption
TotalInventory_Sim7,1823494,134535.5638888889,13.553992322104504,82,22,250.63795110189633,0,0.0,True,7,0.1,3.0,Low Disruption
TotalInventory_Sim8,2365905,138024.50396825396,17.141195454280822,88,26,284.24853273894456,0,0.0,True,8,0.1,3.0,Low Disruption
TotalInventory_Sim9,2106228,136774.6476190476,15.39925736724531,84,25,274.9674379091248,0,0.0,True,9,0.1,3.0,Low Disruption
TotalInventory_Sim10,2365905,142309.57896825398,16.62505796976449,85,26,279.22245650725154,0,0.0,True,10,0.1,3.0,Low Disruption
TotalInventory_Sim11,2365905,135115.04722222223,17.510299915810428,89,26,267.6513658685253,0,0.0,True,11,0.1,3.0,Low Disruption
TotalInventory_Sim12,2365905,150743.87261904762,15.694866788907547,78,23,239.09743819544374,0,0.0,True,12,0.1,3.0,Low Disruption
TotalInventory_Sim13,2365905,126618.77936507936,18.68526147435363,89,28,285.81325200132426,0,0.0,True,13,0.1,3.0,Low Disruption
