Domestic_DoH,International_DoH,Scenario,Sacramento_Shelves,Austin_Shelves,Total_Expansion
0,0,0_0_doh,0.0,0.0,0.0
1,0,0_1_doh,0.0,0.0,0.0
2,0,0_2_doh,482.9550707868681,0.0,482.9550707868681
3,0,0_3_doh,1638.0684054169074,308.04231851201143,1946.1107239289188
4,0,0_4_doh,2813.4167204190244,1063.8825242981552,3877.29924471718
5,0,0_5_doh,3988.765035421141,1833.6936835194365,5822.4587189405775
7,0,0_7_doh,6400.718385855483,3373.316001962,9774.034387817484
9,0,0_9_doh,8892.481086706432,5017.144712531304,13909.625799237736
11,0,0_11_doh,11496.937767293295,6747.055803567733,18243.99357086103
14,0,0_14_doh,15444.13780353458,9341.922440122373,24786.060243656957
0,3,3_0_doh,0.0,0.0,0.0
1,3,3_1_doh,0.0,0.0,0.0
2,3,3_2_doh,483.03477187561657,0.0,483.03477187561657
3,3,3_3_doh,1653.243546019845,308.1500464967986,1961.393592516644
4,3,3_4_doh,2828.591861021963,1073.7017329235855,3902.293593945548
5,3,3_5_doh,4003.940176024079,1843.5128921448672,5847.453068168947
7,3,3_7_doh,6420.754630841829,3383.13521058743,9803.889841429258
9,3,3_9_doh,8921.867579353071,5044.185244666103,13966.052824019174
11,3,3_11_doh,11537.498565495493,6774.096335702529,18311.594901198023
14,3,3_14_doh,15484.698601736773,9368.962972257172,24853.661573993944
0,6,6_0_doh,0.0,0.0,0.0
1,6,6_1_doh,0.0,0.0,0.0
2,6,6_2_doh,493.0703716206667,0.0,493.0703716206667
3,6,6_3_doh,1668.4186866227833,313.70978232773484,1982.1284689505185
4,6,6_4_doh,2843.7670016249003,1083.5209415490162,3927.2879431739166
5,6,6_5_doh,4020.518949368604,1853.3321007702973,5873.851050138901
7,6,6_7_doh,6440.790875828174,3394.0396423141974,9834.830518142371
9,6,6_9_doh,8951.254071999712,5071.225776800899,14022.479848800613
11,6,6_11_doh,11578.059363697688,6801.136867837327,18379.196231535017
14,6,6_14_doh,15525.25939993897,9396.003504391969,24921.26290433094
0,8,8_0_doh,0.0,0.0,0.0
1,8,8_1_doh,0.0,0.0,0.0
2,8,8_2_doh,503.1871320226255,0.0,503.1871320226255
3,8,8_3_doh,1678.535447024742,320.2559214113551,1998.7913684360967
4,8,8_4_doh,2853.883762026859,1090.067080632636,3943.9508426594953
5,8,8_5_doh,4031.957023789205,1859.8782398539176,5891.835263643123
7,8,8_7_doh,6454.148372485739,3401.4407492922337,9855.589121777972
9,8,8_9_doh,8973.633205004966,5089.252798224098,14062.886003229063
11,8,8_11_doh,11605.099895832484,6819.163889260524,18424.26378509301
14,8,8_14_doh,15552.299932073764,9414.030525815166,24966.33045788893
0,10,10_0_doh,0.0,0.0,0.0
1,10,10_1_doh,0.0,0.0,0.0
2,10,10_2_doh,513.3038924245841,0.0,513.3038924245841
3,10,10_3_doh,1688.652207426701,326.8020604949754,2015.4542679216763
4,10,10_4_doh,2864.000522428818,1096.613219716257,3960.613742145075
5,10,10_5_doh,4043.395098209806,1866.4243789375384,5909.8194771473445
7,10,10_7_doh,6467.505869143302,3409.1330294151558,9876.638898558458
9,10,10_9_doh,9000.673737139763,5107.279819647296,14107.95355678706
11,10,10_11_doh,11632.140427967282,6837.190910683724,18469.331338651005
14,10,10_14_doh,15579.340464208564,9432.057547238364,25011.39801144693
0,12,12_0_doh,0.0,0.0,0.0
1,12,12_1_doh,0.0,0.0,0.0
2,12,12_2_doh,523.4206528265428,0.0,523.4206528265428
3,12,12_3_doh,1698.7689678286597,333.34819957859565,2032.1171674072552
4,12,12_4_doh,2874.1172828307763,1103.1593587998768,3977.276641630653
5,12,12_5_doh,4056.108468794817,1872.9705180211583,5929.078986815975
7,12,12_7_doh,6480.863365800866,3417.7761154876966,9898.639481288565
9,12,12_9_doh,9027.714269274562,5125.306841070494,14153.021110345057
11,12,12_11_doh,11659.18096010208,6855.217932106922,18514.398892209
14,12,12_14_doh,15606.38099634336,9450.084568661565,25056.465565004924
0,15,15_0_doh,0.0,0.0,0.0
1,15,15_1_doh,0.0,0.0,0.0
2,15,15_2_doh,538.5957934294808,0.0,538.5957934294808
3,15,15_3_doh,1713.9441084315977,343.1674082040262,2057.111516635624
4,15,15_4_doh,2889.456770618601,1112.9785674253076,4002.435338043909
5,15,15_5_doh,4076.144713781162,1882.7897266465889,5958.934440427751
7,15,15_7_doh,6506.110305661582,3430.7407445965086,9936.85105025809
9,15,15_9_doh,9068.275067476758,5152.347373205292,14220.62244068205
11,15,15_11_doh,11699.741758304275,6882.25846424172,18582.000222546
14,15,15_14_doh,15646.941794545555,9477.12510079636,25124.066895341915
0,17,17_0_doh,0.0,0.0,0.0
1,17,17_1_doh,0.0,0.0,0.0
2,17,17_2_doh,548.7125538314394,0.0,548.7125538314394
3,17,17_3_doh,1724.060868833556,349.7135472876464,2073.774416121202
4,17,17_4_doh,2900.6742169796125,1119.524706508928,4020.198923488541
5,17,17_5_doh,4089.5022104387263,1889.3358657302088,5978.838076168935
7,17,17_7_doh,6525.701300759342,3442.176128827694,9967.877429587035
9,17,17_9_doh,9095.315599611557,5170.37439462849,14265.689994240043
11,17,17_11_doh,11726.782290439074,6900.285485664917,18627.06777610399
14,17,17_14_doh,15673.982326680354,9495.15212221956,25169.134448899917
0,19,19_0_doh,0.0,0.0,0.0
1,19,19_1_doh,0.0,0.0,0.0
2,19,19_2_doh,558.829314233398,0.0,558.829314233398
3,19,19_3_doh,1734.1776292355148,356.25968637126687,2090.437315606782
4,19,19_4_doh,2912.112291400214,1126.0708455925485,4038.183136992762
5,19,19_5_doh,4102.85970709629,1895.8820048138296,5998.741711910119
7,19,19_7_doh,6545.292295857103,3458.490325015261,10003.782620872364
9,19,19_9_doh,9122.356131746352,5188.401416051688,14310.75754779804
11,19,19_11_doh,11753.822822573871,6918.312507088116,18672.135329661985
14,19,19_14_doh,15701.022858815151,9513.179143642756,25214.20200245791
0,21,21_0_doh,0.0,0.0,0.0
1,21,21_1_doh,0.0,0.0,0.0
2,21,21_2_doh,568.9460746353567,0.0,568.9460746353567
3,21,21_3_doh,1744.2943896374732,362.805825454887,2107.10021509236
4,21,21_4_doh,2923.5503658208154,1132.6169846761682,4056.167350496984
5,21,21_5_doh,4116.217203753854,1902.42814389745,6018.645347651303
7,21,21_7_doh,6564.883290954863,3476.51734643846,10041.400637393324
9,21,21_9_doh,9149.396663881147,5206.428437474887,14355.825101356031
11,21,21_11_doh,11780.863354708668,6936.339528511314,18717.202883219983
14,21,21_14_doh,15728.063390949948,9531.206165065954,25259.269556015905
