Domestic_DoH,International_DoH,Scenario,Sacramento_Shelves,Austin_Shelves,Total_Expansion
0,0,0_0_doh,0.0,0.0,0.0
1,3,3_1_doh,0.0,0.0,0.0
2,6,6_2_doh,493.0703716206667,0.0,493.0703716206667
3,8,8_3_doh,1678.535447024742,320.2559214113551,1998.7913684360967
4,10,10_4_doh,2864.000522428818,1096.613219716257,3960.613742145075
5,12,12_5_doh,4056.108468794817,1872.9705180211583,5929.078986815975
7,15,15_7_doh,6506.110305661582,3430.7407445965086,9936.85105025809
9,17,17_9_doh,9095.315599611557,5170.37439462849,14265.689994240043
11,19,19_11_doh,11753.822822573871,6918.312507088116,18672.135329661985
14,21,21_14_doh,15728.063390949948,9531.206165065954,25259.269556015905
