SKU,Facility,Delay_Events,Delay_Days,Total_Lead_Time
SKUA1,Austin,238,2276.7410134648517,31.972841778873764
SKUA1,Columbus,133,1204.8952492466406,19.040793743722006
SKUA1,Sacramento,262,2267.2923754209173,33.894103128507645
SKUA2,Austin,253,2681.322656886471,35.34435547405393
SKUA2,Columbus,149,1648.8415201048417,22.74034600087368
SKUA2,Sacramento,293,3029.6517982745922,40.24709831895493
SKUA3,Austin,245,2487.739103051294,33.73115919209412
SKUA3,Columbus,163,1700.361854436643,23.16968212030536
SKUA3,Sacramento,264,2896.697917760831,39.13914931467359
SKUC1,Austin,271,2395.4494105588024,34.962078421323355
SKUC1,Columbus,197,1990.1133077952068,26.584277564960058
SKUC1,Sacramento,360,3425.9151779963313,47.54929314996943
SKUC2,Austin,265,2764.6534972418863,38.03877914368239
SKUC2,Columbus,181,1729.684888358582,24.414040736321514
SKUC2,Sacramento,341,3159.5596768111204,45.329663973426
SKUD1,Austin,210,2052.609647308483,29.10508039423736
SKUD1,Columbus,226,2472.4876205629835,31.604063504691528
SKUD1,Sacramento,258,2618.6859431753014,35.822382859794175
SKUD2,Austin,215,2263.7429455556003,30.864524546296668
SKUD2,Columbus,184,1750.2650914771111,25.585542428975927
SKUD2,Sacramento,238,2442.811044734954,34.35675870612462
SKUD3,Austin,221,2241.1951013425532,30.676625844521276
SKUD3,Columbus,192,1773.6399456769557,25.780332880641296
SKUD3,Sacramento,245,2449.041938999705,34.40868282499754
SKUE1,Austin,858,9239.83946548278,125.9986622123565
SKUE1,Columbus,891,8537.42688293568,122.145224024464
SKUE1,Sacramento,851,8619.022245302274,116.82518537751895
SKUE2,Austin,848,8671.223311276926,121.26019426064106
SKUE2,Columbus,947,9805.997568126433,132.71664640105362
SKUE2,Sacramento,805,8516.967751548413,115.97473126290343
SKUE3,Austin,867,8316.117328441962,118.30097773701635
SKUE3,Columbus,906,8651.104028192718,123.09253356827266
SKUE3,Sacramento,774,7512.705237021987,107.60587697518324
SKUT1,Austin,188,1962.4615306190813,27.353846088492343
SKUT1,Columbus,249,2629.9878906030144,33.91656575502512
SKUT1,Sacramento,123,1172.363756199864,16.7696979683322
SKUT2,Austin,193,2191.615812612964,29.263465105108033
SKUT2,Columbus,189,1883.5989822808356,27.69665818567363
SKUT2,Sacramento,121,1213.1499904987922,17.1095832541566
SKUT3,Austin,189,1696.2787514893676,25.135656262411395
SKUT3,Columbus,213,2346.3956400573516,31.55329700047793
SKUT3,Sacramento,121,1189.5914376776357,16.913261980646965
SKUT4,Austin,202,2437.3650723121923,31.311375602601604
SKUT4,Columbus,212,2047.6846671147093,29.064038892622577
SKUT4,Sacramento,121,1190.8496525011913,16.923747104176595
SKUW1,Austin,851,8144.012092189781,113.86676743491485
SKUW1,Columbus,892,9034.467581422765,123.28722984518971
SKUW1,Sacramento,744,7624.26889688042,105.53557414067016
SKUW2,Austin,812,8300.774248547212,115.17311873789343
SKUW2,Columbus,861,8868.036067774776,121.9003005647898
SKUW2,Sacramento,749,7436.340201223937,103.96950167686614
SKUW3,Austin,814,7663.297835132698,109.86081529277249
SKUW3,Columbus,846,8364.749119715672,117.70624266429726
SKUW3,Sacramento,756,7455.795403428392,104.13162836190327
