simulation,k_factor,mean_delay,avg_delay_days,total_delay_events,sacramento_shelves,austin_shelves,total_shelves
1,0.1,5.0,11.701000334133376,15263,,,
2,0.1,5.0,11.684269423358513,15053,,,
3,0.1,5.0,11.771363492224367,15180,,,
4,0.1,5.0,11.761827580144015,15161,,,
5,0.1,5.0,12.060980915894472,15425,,,
6,0.1,5.0,11.748548684992718,15026,,,
7,0.1,5.0,11.73071175969025,15285,,,
8,0.1,5.0,11.83704802212303,15183,,,
9,0.1,5.0,11.792410336368643,15248,,,
10,0.1,5.0,11.855441947270556,15194,,,
11,0.1,5.0,11.872859608723077,15257,,,
12,0.1,5.0,11.773340284717872,15222,,,
13,0.1,5.0,11.8009730474606,15198,,,
14,0.1,5.0,11.667120158786005,15320,,,
15,0.1,5.0,11.698320454380148,15059,,,
16,0.1,5.0,11.829102920582654,15262,,,
17,0.1,5.0,11.784854633109935,15373,,,
18,0.1,5.0,11.777466814002699,15116,,,
19,0.1,5.0,11.72877644070155,15169,,,
20,0.1,5.0,11.900788411329529,15381,,,
21,0.1,5.0,11.761211162747674,15201,,,
22,0.1,5.0,11.755385539777638,15196,,,
23,0.1,5.0,11.703965687662746,15217,,,
24,0.1,5.0,11.77636855884154,15231,,,
25,0.1,5.0,11.731009980775742,15187,,,
26,0.1,5.0,11.924901151200585,15404,,,
27,0.1,5.0,11.594683522734638,15160,,,
28,0.1,5.0,11.848266294223274,15321,,,
29,0.1,5.0,12.03565271794519,15419,,,
30,0.1,5.0,11.754676396064704,15215,,,
31,0.1,5.0,11.820047373600495,15237,,,
32,0.1,5.0,11.7713188141884,15300,,,
33,0.1,5.0,11.711857290181214,15092,,,
34,0.1,5.0,12.055818245986114,15486,,,
35,0.1,5.0,12.066461086699015,15443,,,
36,0.1,5.0,11.619074551020157,15147,,,
37,0.1,5.0,11.61138392545523,15338,,,
38,0.1,5.0,11.917887936601232,15419,,,
39,0.1,5.0,11.795101874116014,15175,,,
40,0.1,5.0,11.934145173090577,15301,,,
41,0.1,5.0,11.879305874339593,15347,,,
42,0.1,5.0,11.83755614127376,15274,,,
43,0.1,5.0,11.541750356359849,15033,,,
44,0.1,5.0,11.745345355683968,15356,,,
45,0.1,5.0,11.639662640419633,15292,,,
46,0.1,5.0,11.69483866429306,15082,,,
47,0.1,5.0,11.862537991587436,15220,,,
48,0.1,5.0,11.841911806301617,15301,,,
49,0.1,5.0,12.011483710806836,15420,,,
50,0.1,5.0,11.774385234379658,15171,,,
