Month,Day,Facility,Supplier,Supplier_Type,Delay_Duration_Days,Trucks_Affected,Truck_Days_Delay,Num_SKUs_Affected,SKUs_Affected,Event_Index
2,9,Austin,Bound to Learn,Domestic,2.213693984740305,23,50.91496164902701,2,"SKUT1,SKUT2",0
2,16,Austin,Bound to Learn,Domestic,0.7432335701621723,13,9.66203641210824,1,SKUT3,1
3,6,Austin,Bound to Learn,Domestic,0.37239667067836163,1,0.37239667067836163,1,SKUT1,0
3,6,Austin,Bound to Learn,Domestic,11.899389228161095,1,11.899389228161095,1,SKUT1,1
4,4,Austin,Bound to Learn,Domestic,4.214618808120477,40,168.58475232481908,2,"SKUT2,SKUT3",0
4,7,Austin,Bound to Learn,Domestic,1.5079415405458154,40,60.31766162183261,2,"SKUT2,SKUT3",1
6,18,Austin,Bound to Learn,Domestic,0.8746964878061829,20,17.49392975612366,2,"SKUT3,SKUT4",0
6,8,Austin,Bound to Learn,Domestic,0.2836744370930958,39,11.063303046630736,2,"SKUT2,SKUT3",1
6,13,Austin,Bound to Learn,Domestic,0.6067071582113193,1,0.6067071582113193,1,SKUT4,2
8,21,Austin,Bound to Learn,Domestic,6.548578058943038,22,144.06871729674683,1,SKUT3,0
10,7,Austin,Bound to Learn,Domestic,0.5353858573735258,21,11.243103004844043,3,"SKUT1,SKUT2,SKUT4",0
10,16,Austin,Bound to Learn,Domestic,1.329766310189994,1,1.329766310189994,1,SKUT1,1
10,8,Austin,Bound to Learn,Domestic,0.02862613824004266,1,0.02862613824004266,1,SKUT1,2
10,17,Austin,Bound to Learn,Domestic,5.76832601909272,1,5.76832601909272,1,SKUT4,3
10,12,Austin,Bound to Learn,Domestic,1.867389606510824,1,1.867389606510824,1,SKUT4,4
12,8,Austin,Bound to Learn,Domestic,0.5610325952592499,16,8.976521524147998,3,"SKUT1,SKUT3,SKUT4",0
12,6,Austin,Bound to Learn,Domestic,1.9400493695284429,1,1.9400493695284429,1,SKUT1,1
12,12,Austin,Bound to Learn,Domestic,2.1005261004306153,1,2.1005261004306153,1,SKUT4,2
14,13,Austin,Bound to Learn,Domestic,0.22018975980671734,19,4.183605436327629,1,SKUT2,0
16,16,Austin,Bound to Learn,Domestic,3.7220572731226467,1,3.7220572731226467,1,SKUT4,0
16,13,Austin,Bound to Learn,Domestic,1.2367842594698262,1,1.2367842594698262,1,SKUT1,1
17,10,Austin,Bound to Learn,Domestic,1.5875544525247487,21,33.338643503019725,1,SKUT3,0
17,1,Austin,Bound to Learn,Domestic,3.2761033655592935,37,121.21582452569386,3,"SKUT1,SKUT2,SKUT3",1
17,19,Austin,Bound to Learn,Domestic,1.5801904924734913,21,33.18400034194332,2,"SKUT3,SKUT4",2
18,2,Austin,Bound to Learn,Domestic,5.9684271501761685,21,125.33697015369954,2,"SKUT1,SKUT3",0
19,17,Austin,Bound to Learn,Domestic,0.044098812563270993,25,1.1024703140817749,2,"SKUT3,SKUT4",0
20,18,Austin,Bound to Learn,Domestic,0.7111779751636207,42,29.869474956872068,2,"SKUT2,SKUT4",0
20,16,Austin,Bound to Learn,Domestic,7.008368108162905,2,14.01673621632581,1,SKUT4,1
21,7,Austin,Bound to Learn,Domestic,5.837710164630676,22,128.42962362187487,3,"SKUT1,SKUT3,SKUT4",0
21,21,Austin,Bound to Learn,Domestic,0.3847105980120269,35,13.464870930420942,1,SKUT2,1
21,8,Austin,Bound to Learn,Domestic,3.569605711497984,21,74.96171994145766,2,"SKUT1,SKUT3",2
22,3,Austin,Bound to Learn,Domestic,0.5705477599577786,19,10.840407439197794,1,SKUT3,0
22,13,Austin,Bound to Learn,Domestic,3.6893930205144705,27,99.6136115538907,1,SKUT2,1
22,8,Austin,Bound to Learn,Domestic,0.15749887731095,2,0.3149977546219,2,"SKUT1,SKUT4",2
22,18,Austin,Bound to Learn,Domestic,6.0473908509088075,20,120.94781701817615,2,"SKUT1,SKUT3",3
23,19,Austin,Bound to Learn,Domestic,3.0156498374708294,30,90.46949512412488,3,"SKUT1,SKUT2,SKUT4",0
23,17,Austin,Bound to Learn,Domestic,2.90748840833757,45,130.83697837519065,3,"SKUT1,SKUT2,SKUT3",1
25,9,Austin,Bound to Learn,Domestic,3.725941046394799,29,108.05229034544917,1,SKUT2,0
26,12,Austin,Bound to Learn,Domestic,1.944092081227084,18,34.99365746208751,1,SKUT3,0
26,10,Austin,Bound to Learn,Domestic,8.377660152781944,19,159.17554290285693,2,"SKUT1,SKUT3",1
28,5,Austin,Bound to Learn,Domestic,0.021364779878366377,52,1.1109685536750515,3,"SKUT1,SKUT2,SKUT3",0
28,13,Austin,Bound to Learn,Domestic,2.5354797858398266,23,58.31603507431601,2,"SKUT3,SKUT4",1
28,8,Austin,Bound to Learn,Domestic,2.6569430845885464,1,2.6569430845885464,1,SKUT4,2
29,12,Austin,Bound to Learn,Domestic,2.459937565793661,1,2.459937565793661,1,SKUT4,0
29,9,Austin,Bound to Learn,Domestic,2.752866258215158,22,60.56305768073348,1,SKUT3,1
30,4,Austin,Bound to Learn,Domestic,6.187072222912613,1,6.187072222912613,1,SKUT1,0
30,18,Austin,Bound to Learn,Domestic,1.8509629359957378,51,94.39910973578263,4,"SKUT1,SKUT2,SKUT3,SKUT4",1
