Month,Day,Facility,Supplier,Supplier_Type,Delay_Duration_Days,Trucks_Affected,Truck_Days_Delay,Num_SKUs_Affected,SKUs_Affected,Event_Index
1,14,Austin,Bound to Learn,Domestic,8.343830680636414,35,292.0340738222745,4,"SKUT1,SKUT2,SKUT3,SKUT4",0
1,10,Austin,Bound to Learn,Domestic,6.500102728393033,1,6.500102728393033,1,SKUT1,1
1,7,Austin,Bound to Learn,Domestic,0.6251421453385655,22,13.75312719744844,1,SKUT2,2
1,3,Austin,Bound to Learn,Domestic,0.2727595261013962,2,0.5455190522027924,2,"SKUT1,SKUT4",3
1,17,Austin,Bound to Learn,Domestic,3.594984875625612,13,46.734803383132956,2,"SKUT1,SKUT3",4
1,15,Austin,Bound to Learn,Domestic,28.225067878974777,13,366.9258824266721,2,"SKUT1,SKUT3",5
1,16,Austin,Bound to Learn,Domestic,5.387300351653228,35,188.55551230786298,3,"SKUT2,SKUT3,SKUT4",6
1,10,Austin,Bound to Learn,Domestic,2.5502922414501517,1,2.5502922414501517,1,SKUT1,7
1,9,Austin,Bound to Learn,Domestic,17.431378696489304,12,209.17654435787165,1,SKUT3,8
1,14,Austin,Bound to Learn,Domestic,17.85827049891364,35,625.0394674619774,4,"SKUT1,SKUT2,SKUT3,SKUT4",9
2,2,Austin,Bound to Learn,Domestic,10.771406540141095,35,376.9992289049383,2,"SKUT2,SKUT3",0
2,2,Austin,Bound to Learn,Domestic,7.362191710363887,35,257.67670986273606,2,"SKUT2,SKUT3",1
2,10,Austin,Bound to Learn,Domestic,10.491378840469075,22,230.81033449031963,1,SKUT2,2
2,16,Austin,Bound to Learn,Domestic,0.8950005971156285,13,11.635007762503172,1,SKUT3,3
2,14,Austin,Bound to Learn,Domestic,2.859643446121231,13,37.175364799576,1,SKUT3,4
2,11,Austin,Bound to Learn,Domestic,26.08707091502744,1,26.08707091502744,1,SKUT4,5
2,6,Austin,Bound to Learn,Domestic,14.989710782163487,22,329.7736372075967,1,SKUT2,6
2,9,Austin,Bound to Learn,Domestic,13.667217492301832,23,314.3460023229421,2,"SKUT1,SKUT2",7
2,8,Austin,Bound to Learn,Domestic,37.62688900538638,35,1316.9411151885233,3,"SKUT2,SKUT3,SKUT4",8
2,7,Austin,Bound to Learn,Domestic,42.74241363563844,13,555.6513772632998,1,SKUT3,9
3,14,Austin,Bound to Learn,Domestic,5.477923668296167,1,5.477923668296167,1,SKUT1,0
3,12,Austin,Bound to Learn,Domestic,5.530005591380785,21,116.13011741899649,2,"SKUT1,SKUT2",1
3,21,Austin,Bound to Learn,Domestic,2.8121329674287745,20,56.242659348575486,2,"SKUT2,SKUT4",2
3,9,Austin,Bound to Learn,Domestic,10.555621296567363,16,168.8899407450778,1,SKUT3,3
3,19,Austin,Bound to Learn,Domestic,7.963151557204571,16,127.41042491527314,1,SKUT3,4
3,14,Austin,Bound to Learn,Domestic,1.4751621861907225,1,1.4751621861907225,1,SKUT1,5
3,9,Austin,Bound to Learn,Domestic,41.06510657173917,16,657.0417051478267,1,SKUT3,6
3,3,Austin,Bound to Learn,Domestic,16.859133702865574,1,16.859133702865574,1,SKUT4,7
3,1,Austin,Bound to Learn,Domestic,2.8199287446665093,16,45.11885991466415,4,"SKUT1,SKUT2,SKUT3,SKUT4",8
3,10,Austin,Bound to Learn,Domestic,33.25474557541414,16,532.0759292066263,1,SKUT3,9
3,11,Austin,Bound to Learn,Domestic,1.5448207580808775,20,30.89641516161755,1,SKUT2,10
3,14,Austin,Bound to Learn,Domestic,5.5276212465157295,1,5.5276212465157295,1,SKUT1,11
4,18,Austin,Bound to Learn,Domestic,7.465556559147828,17,126.91446150551307,3,"SKUT1,SKUT3,SKUT4",0
4,12,Austin,Bound to Learn,Domestic,3.0447213614995094,25,76.11803403748773,1,SKUT2,1
4,12,Austin,Bound to Learn,Domestic,3.8021588796375863,25,95.05397199093966,1,SKUT2,2
4,13,Austin,Bound to Learn,Domestic,8.318382276699726,41,341.0536733446888,3,"SKUT2,SKUT3,SKUT4",3
4,18,Austin,Bound to Learn,Domestic,12.67239032015026,17,215.43063544255443,3,"SKUT1,SKUT3,SKUT4",4
4,3,Austin,Bound to Learn,Domestic,10.60948844222753,26,275.8466994979158,2,"SKUT2,SKUT4",5
5,10,Austin,Bound to Learn,Domestic,19.268739157664143,28,539.5246964145961,2,"SKUT1,SKUT2",0
5,21,Austin,Bound to Learn,Domestic,12.29884939060612,27,332.06893354636526,1,SKUT2,1
5,10,Austin,Bound to Learn,Domestic,33.726158876422666,28,944.3324485398347,2,"SKUT1,SKUT2",2
5,4,Austin,Bound to Learn,Domestic,6.737367084659707,45,303.1815188096868,3,"SKUT1,SKUT2,SKUT3",3
5,11,Austin,Bound to Learn,Domestic,4.369100014941183,45,196.60950067235322,3,"SKUT1,SKUT2,SKUT3",4
5,10,Austin,Bound to Learn,Domestic,39.653589325989,28,1110.300501127692,2,"SKUT1,SKUT2",5
6,18,Austin,Bound to Learn,Domestic,1.3934272191753294,20,27.86854438350659,2,"SKUT3,SKUT4",0
6,13,Austin,Bound to Learn,Domestic,12.168268937740791,1,12.168268937740791,1,SKUT4,1
6,19,Austin,Bound to Learn,Domestic,12.009612406737084,22,264.2114729482158,2,"SKUT2,SKUT4",2
6,6,Austin,Bound to Learn,Domestic,1.0404039080900815,22,22.888885977981793,2,"SKUT1,SKUT2",3
6,5,Austin,Bound to Learn,Domestic,1.384066475568512,1,1.384066475568512,1,SKUT1,4
6,18,Austin,Bound to Learn,Domestic,0.6865822000342906,20,13.731644000685812,2,"SKUT3,SKUT4",5
6,5,Austin,Bound to Learn,Domestic,16.117408474553603,1,16.117408474553603,1,SKUT1,6
6,15,Austin,Bound to Learn,Domestic,29.381655702351672,22,646.3964254517368,2,"SKUT1,SKUT2",7
6,19,Austin,Bound to Learn,Domestic,3.2768967064641403,22,72.09172754221109,2,"SKUT2,SKUT4",8
6,18,Austin,Bound to Learn,Domestic,44.53679217205678,20,890.7358434411356,2,"SKUT3,SKUT4",9
6,4,Austin,Bound to Learn,Domestic,2.492833175675708,20,49.85666351351416,2,"SKUT1,SKUT3",10
6,9,Austin,Bound to Learn,Domestic,10.485633420834306,22,230.68393525835472,2,"SKUT2,SKUT4",11
7,8,Austin,Bound to Learn,Domestic,5.375001947849384,2,10.750003895698768,2,"SKUT1,SKUT4",0
7,16,Austin,Bound to Learn,Domestic,13.604771243999354,53,721.0528759319658,2,"SKUT2,SKUT3",1
7,6,Austin,Bound to Learn,Domestic,3.9730259226274574,21,83.43354437517661,1,SKUT3,2
7,19,Austin,Bound to Learn,Domestic,4.769439323778533,2,9.538878647557066,1,SKUT1,3
8,12,Austin,Bound to Learn,Domestic,9.8351419457557,22,216.3731228066254,1,SKUT3,0
8,9,Austin,Bound to Learn,Domestic,1.0231972445769726,3,3.0695917337309178,2,"SKUT1,SKUT4",1
8,7,Austin,Bound to Learn,Domestic,0.2504457224713949,29,7.262925951670452,1,SKUT2,2
8,4,Austin,Bound to Learn,Domestic,43.6890965965965,22,961.1601251251229,1,SKUT3,3
