simulation,k_factor,mean_delay,total_delay_events,total_skus_affected,total_trucks_affected,total_truck_days_delay,avg_delay_duration,avg_skus_per_event,avg_trucks_per_event,domestic_events,international_events,sacramento_shelves,austin_shelves,total_shelves
1,0.1,3.0,2933,4838,94460,280684.1078662198,2.9566587940598215,1.6495056256392773,32.20593249232867,1864,1069,,,
2,0.1,3.0,2905,4850,92498,279295.5209385948,3.0036291019646404,1.6695352839931152,31.840963855421688,1814,1091,,,
3,0.1,3.0,2932,4908,96331,300361.2688485702,3.07713816397961,1.6739427012278307,32.85504774897681,1816,1116,,,
4,0.1,3.0,2919,4825,94209,272275.60187618615,2.899649768427308,1.6529633436108255,32.27440904419322,1844,1075,,,
5,0.1,3.0,2851,4714,92763,267290.4347490354,2.943895444938347,1.6534549280954052,32.53700455980358,1792,1059,,,
6,0.1,3.0,2925,4831,96302,269576.6552686001,2.974581217334043,1.6516239316239316,32.92376068376068,1824,1101,,,
7,0.1,3.0,2847,4704,92844,275000.6642412209,2.9372893895287664,1.6522655426765016,32.611169652265545,1799,1048,,,
8,0.1,3.0,2821,4561,86514,267918.2388902616,3.0165574055086184,1.6168025522864233,30.667848280751507,1765,1056,,,
9,0.1,3.0,2969,4890,97355,295803.5873217567,3.054595420534034,1.647019198383294,32.79050185247558,1919,1050,,,
10,0.1,3.0,2853,4731,95968,294931.3380783843,3.0036574290754485,1.658254468980021,33.63757448300035,1805,1048,,,
11,0.1,3.0,2874,4764,93573,277436.9458775185,2.950660885519871,1.6576200417536535,32.55845511482255,1836,1038,,,
12,0.1,3.0,2804,4673,92780,282733.3654235959,2.986361404356723,1.6665477888730384,33.088445078459344,1793,1011,,,
13,0.1,3.0,2955,4845,94584,283594.20451775735,3.009510008650475,1.6395939086294415,32.008121827411166,1870,1085,,,
14,0.1,3.0,2866,4738,90457,273246.2260188176,2.9457575102825246,1.653175157013259,31.562107466852755,1774,1092,,,
15,0.1,3.0,2958,4814,89895,272394.7473305768,2.9767033918295343,1.6274509803921569,30.39046653144016,1834,1124,,,
16,0.1,3.0,2831,4715,94975,282002.74330463586,2.9364909842836506,1.6654892264217591,33.548216178028966,1795,1036,,,
17,0.1,3.0,2926,4826,93979,280683.81632263126,2.95007698659822,1.6493506493506493,32.118591934381406,1831,1095,,,
18,0.1,3.0,2757,4540,86918,263127.0466285278,3.0614401438460366,1.6467174464998187,31.526296699310844,1689,1068,,,
19,0.1,3.0,2766,4575,88904,269672.2170142224,3.020407534315525,1.6540130151843817,32.14172089660159,1742,1024,,,
20,0.1,3.0,2833,4708,93431,279863.55478526116,3.009005995902391,1.661842569714084,32.97952700317684,1811,1022,,,
21,0.1,3.0,2897,4806,93385,297467.4161082322,3.0515081446692296,1.6589575422851226,32.23507076285813,1808,1089,,,
22,0.1,3.0,2826,4629,94421,276696.08200739336,2.8899597271123563,1.638004246284501,33.41153573956122,1782,1044,,,
23,0.1,3.0,2853,4719,95334,284419.17613929807,3.0013636621806246,1.6540483701366981,33.41535226077813,1751,1102,,,
24,0.1,3.0,2906,4800,95748,287149.08115247084,3.0189030815929088,1.6517549896765313,32.94838265657261,1872,1034,,,
25,0.1,3.0,2892,4835,94169,291837.6845198469,2.9631907318732598,1.671853388658368,32.5618948824343,1867,1025,,,
26,0.1,3.0,2845,4719,90348,268939.5015589769,3.0588482344681966,1.6586994727592268,31.75676625659051,1778,1067,,,
27,0.1,3.0,2833,4706,91430,279250.06855473365,3.0006427836958616,1.661136604306389,32.27320861277797,1821,1012,,,
28,0.1,3.0,2840,4677,91564,270310.1491447119,2.9900953410546998,1.646830985915493,32.24084507042254,1771,1069,,,
29,0.1,3.0,2913,4790,93942,299538.69949078147,3.1179591838074083,1.644352900789564,32.24922760041195,1792,1121,,,
30,0.1,3.0,2855,4769,94083,281034.86655643967,2.957034521776697,1.6704028021015762,32.953765323993,1770,1085,,,
31,0.1,3.0,2889,4781,94867,265851.94379353465,2.9520256749295775,1.6548978885427483,32.837313949463486,1868,1021,,,
32,0.1,3.0,2959,4833,92457,277698.1760604029,3.0446212557870815,1.633322068266306,31.24602906387293,1889,1070,,,
33,0.1,3.0,2927,4832,94681,298787.01725673705,3.1335389544321894,1.6508370345063204,32.34745473180731,1867,1060,,,
34,0.1,3.0,2836,4685,89231,271534.6335278487,2.9882860603488006,1.6519746121297603,31.463681241184766,1780,1056,,,
35,0.1,3.0,2850,4706,91160,285151.9498536264,3.0466375056027397,1.6512280701754385,31.985964912280703,1805,1045,,,
36,0.1,3.0,2861,4715,91328,278042.6976665416,3.0535913498572405,1.6480251660258651,31.921705697308635,1851,1010,,,
37,0.1,3.0,2869,4804,96924,301849.2100671169,3.0049177714945334,1.6744510282328338,33.783199721157196,1827,1042,,,
38,0.1,3.0,2901,4765,91228,278776.7318170372,3.0445583452207723,1.6425370561875214,31.447087211306446,1798,1103,,,
39,0.1,3.0,2805,4553,87379,250864.84639270476,2.991761639480128,1.6231729055258468,31.151158645276293,1727,1078,,,
40,0.1,3.0,2902,4778,96109,281758.42209536035,2.9010186610984694,1.6464507236388697,33.11819434872502,1843,1059,,,
41,0.1,3.0,2875,4780,92447,295984.7510551093,3.0879610921307243,1.662608695652174,32.155478260869565,1798,1077,,,
42,0.1,3.0,2840,4734,95555,289238.3622826823,3.006814698903665,1.6669014084507043,33.646126760563384,1814,1026,,,
43,0.1,3.0,2944,4833,97586,283827.7423191823,2.9697293437864025,1.6416440217391304,33.14741847826087,1845,1099,,,
44,0.1,3.0,2893,4798,94987,286280.66719624854,2.9671857438425953,1.6584860006913238,32.8333909436571,1823,1070,,,
45,0.1,3.0,2729,4472,86137,262359.4505287694,3.0830074941978576,1.6386954928545254,31.563576401612313,1713,1016,,,
46,0.1,3.0,2884,4799,92899,292518.0247116075,3.061915369741758,1.664008321775312,32.21185852981969,1837,1047,,,
47,0.1,3.0,2951,4777,94557,278324.26372648205,3.0247849107649936,1.618773297187394,32.042358522534734,1814,1137,,,
48,0.1,3.0,2784,4609,91652,278051.47395286226,2.992844358796759,1.6555316091954022,32.92097701149425,1759,1025,,,
49,0.1,3.0,2836,4791,96689,284245.4195140403,3.0182519133711416,1.6893511988716503,34.09344146685473,1828,1008,,,
50,0.1,3.0,2847,4738,89756,258606.7244268156,2.9195019894200347,1.664207938180541,31.5265191429575,1757,1090,,,
