simulation,k_factor,mean_delay,total_delay_events,total_skus_affected,avg_delay_duration,avg_skus_per_event,domestic_events,international_events,sacramento_shelves,austin_shelves,total_shelves
1,0.1,5.0,2879,4860,4.857694168867094,1.6880861410211878,1808,1071,,,
2,0.1,5.0,2797,4602,5.015056740570774,1.6453342867357883,1740,1057,,,
3,0.1,5.0,2946,4910,4.892841078404796,1.6666666666666667,1856,1090,,,
4,0.1,5.0,2792,4653,4.873606337014504,1.6665472779369628,1743,1049,,,
5,0.1,5.0,2901,4794,4.89251284841147,1.6525336091003102,1838,1063,,,
6,0.1,5.0,2997,4996,4.938456719139834,1.6670003336670003,1920,1077,,,
7,0.1,5.0,2852,4703,5.029712980359025,1.6490182328190743,1818,1034,,,
8,0.1,5.0,2940,4828,5.083292753712831,1.6421768707482993,1817,1123,,,
9,0.1,5.0,2819,4666,5.044457121470577,1.6551968783256474,1762,1057,,,
10,0.1,5.0,2893,4746,4.799449767468261,1.6405115796750778,1831,1062,,,
11,0.1,5.0,2954,4917,5.048785097188885,1.6645226811103588,1809,1145,,,
12,0.1,5.0,2784,4626,5.106205702080832,1.6616379310344827,1749,1035,,,
13,0.1,5.0,2933,4912,5.017158486831457,1.6747357654278896,1890,1043,,,
14,0.1,5.0,2793,4651,5.066145291298774,1.665234514858575,1781,1012,,,
15,0.1,5.0,2896,4811,5.1005714075885535,1.661256906077348,1773,1123,,,
16,0.1,5.0,2825,4686,4.944437935509351,1.6587610619469026,1800,1025,,,
17,0.1,5.0,2969,4945,5.016707118154926,1.665543954193331,1822,1147,,,
18,0.1,5.0,2872,4866,4.915074922241618,1.6942896935933147,1805,1067,,,
19,0.1,5.0,2868,4734,4.909785468643159,1.6506276150627615,1791,1077,,,
20,0.1,5.0,2904,4828,4.835219765623277,1.662534435261708,1804,1100,,,
21,0.1,5.0,2849,4786,5.116114183480627,1.6798876798876798,1822,1027,,,
22,0.1,5.0,2882,4789,5.01008608224612,1.6616932685634975,1819,1063,,,
23,0.1,5.0,2861,4710,4.869448275335599,1.64627752534079,1764,1097,,,
24,0.1,5.0,2853,4679,4.975337261245188,1.6400280406589556,1783,1070,,,
25,0.1,5.0,2807,4593,4.863836999505811,1.636266476665479,1787,1020,,,
26,0.1,5.0,2928,4822,4.894160700130103,1.6468579234972678,1862,1066,,,
27,0.1,5.0,2851,4765,5.040342602814453,1.6713433882848123,1775,1076,,,
28,0.1,5.0,2810,4588,5.029532513643304,1.6327402135231317,1768,1042,,,
29,0.1,5.0,2889,4775,4.838777653693724,1.6528210453444099,1770,1119,,,
30,0.1,5.0,2942,4820,4.869535263263901,1.6383412644459552,1853,1089,,,
31,0.1,5.0,2894,4785,5.117826560670196,1.6534208707671043,1813,1081,,,
32,0.1,5.0,2906,4848,4.937410193435327,1.6682725395732967,1837,1069,,,
33,0.1,5.0,2864,4754,4.968163737105995,1.6599162011173185,1776,1088,,,
34,0.1,5.0,3001,4927,5.052969460880898,1.6417860713095636,1856,1145,,,
35,0.1,5.0,2922,4783,5.032491521540394,1.6368925393566052,1852,1070,,,
36,0.1,5.0,2959,4836,4.959794849326397,1.6343359242987496,1835,1124,,,
37,0.1,5.0,3006,5002,4.93562845983173,1.6640053226879574,1914,1092,,,
38,0.1,5.0,2888,4714,4.937135993632435,1.6322714681440442,1830,1058,,,
39,0.1,5.0,2881,4747,4.921804273655603,1.647691773689691,1831,1050,,,
40,0.1,5.0,2884,4797,5.036170127582256,1.6633148404993066,1771,1113,,,
41,0.1,5.0,2843,4690,4.9225511284740335,1.64966584593739,1769,1074,,,
42,0.1,5.0,2882,4761,4.853493089412873,1.6519777931991673,1799,1083,,,
43,0.1,5.0,2850,4691,5.044836708875932,1.6459649122807019,1805,1045,,,
44,0.1,5.0,2850,4706,5.021526759767904,1.6512280701754385,1819,1031,,,
45,0.1,5.0,2905,4774,4.967614643716809,1.6433734939759037,1837,1068,,,
46,0.1,5.0,2852,4702,4.954481956122103,1.6486676016830295,1797,1055,,,
47,0.1,5.0,2791,4559,5.045871894671361,1.6334647079899678,1790,1001,,,
48,0.1,5.0,2852,4736,5.118675929701152,1.6605890603085554,1805,1047,,,
49,0.1,5.0,2866,4734,5.0509616481479584,1.6517794836008375,1758,1108,,,
50,0.1,5.0,2880,4758,5.007009078935746,1.6520833333333333,1828,1052,,,
