Month,Day,Facility,Supplier,Supplier_Type,Weight_lbs,Volume_cuft,Trucks_Needed,Weight_Utilization_Pct,Volume_Utilization_Pct,Binding_Constraint,Num_SKUs,SKUs_Delivered
1,1,Columbus,The Write Stuff,International,324566.6667,6294.091711,8,90.15740741,21.85448511,weight,3,"SKUW1,SKUW2,SKUW3"
1,1,Columbus,Canvas & Co.,Domestic,57276.38095,1434.187555,2,63.64042328,19.9192716,weight,3,"SKUA1,SKUA2,SKUA3"
1,1,Columbus,Bound to Learn,Domestic,3121600,149438.631,70,99.0984127,59.30104403,weight,4,"SKUT1,SKUT2,SKUT3,SKUT4"
1,1,Columbus,Form & Function,Domestic,1513793.81,779660.8148,217,15.50224075,99.80297169,volume,5,"SKUD1,SKUD2,SKUD3,SKUC1,SKUC2"
1,1,Columbus,VoltEdge,International,4348499.048,529353.1411,148,65.29277849,99.35306702,volume,3,"SKUE1,SKUE2,SKUE3"
1,1,Sacramento,The Write Stuff,International,243425,4720.568783,6,90.15740741,21.85448511,weight,3,"SKUW1,SKUW2,SKUW3"
1,1,Sacramento,Canvas & Co.,Domestic,28638.19048,717.0937776,1,63.64042328,19.9192716,weight,3,"SKUA1,SKUA2,SKUA3"
1,1,Sacramento,Bound to Learn,Domestic,1560800,74719.31548,35,99.0984127,59.30104403,weight,4,"SKUT1,SKUT2,SKUT3,SKUT4"
1,1,Sacramento,Form & Function,Domestic,756896.9048,389830.4074,109,15.43112956,99.34515989,volume,5,"SKUD1,SKUD2,SKUD3,SKUC1,SKUC2"
1,1,Sacramento,VoltEdge,International,3261374.286,397014.8558,111,65.29277849,99.35306702,volume,3,"SKUE1,SKUE2,SKUE3"
1,1,Austin,The Write Stuff,International,243425,4720.568783,6,90.15740741,21.85448511,weight,3,"SKUW1,SKUW2,SKUW3"
1,1,Austin,Canvas & Co.,Domestic,28638.19048,717.0937776,1,63.64042328,19.9192716,weight,3,"SKUA1,SKUA2,SKUA3"
1,1,Austin,Bound to Learn,Domestic,1560800,74719.31548,35,99.0984127,59.30104403,weight,4,"SKUT1,SKUT2,SKUT3,SKUT4"
1,1,Austin,Form & Function,Domestic,756896.9048,389830.4074,109,15.43112956,99.34515989,volume,5,"SKUD1,SKUD2,SKUD3,SKUC1,SKUC2"
1,1,Austin,VoltEdge,International,3261374.286,397014.8558,111,65.29277849,99.35306702,volume,3,"SKUE1,SKUE2,SKUE3"
1,2,Columbus,Bound to Learn,Domestic,550703.5714,26269.77679,13,94.13736264,56.13200168,weight,2,"SKUT3,SKUT4"
1,2,Columbus,Form & Function,Domestic,506772.619,246394.4286,69,16.32117936,99.19260409,volume,3,"SKUD1,SKUD3,SKUC2"
1,2,Sacramento,The Write Stuff,International,65827.38095,1219.025573,2,73.14153439,16.93091074,weight,2,"SKUW2,SKUW3"
1,2,Sacramento,Canvas & Co.,Domestic,4760,43.04108796,1,10.57777778,1.195585777,weight,1,SKUA1
1,2,Sacramento,Form & Function,Domestic,250124.2857,143435.9788,40,13.89579365,99.60831864,volume,2,"SKUD2,SKUC1"
1,2,Sacramento,VoltEdge,International,87200,13952,4,48.44444444,96.88888889,volume,1,SKUE3
1,2,Austin,The Write Stuff,International,15314.28571,354.4973545,1,34.03174603,9.847148736,weight,1,SKUW1
1,2,Austin,Canvas & Co.,Domestic,23878.19048,674.0526896,1,53.0626455,18.72368582,weight,2,"SKUA2,SKUA3"
1,2,Austin,Bound to Learn,Domestic,1010096.429,48449.53869,23,97.59385783,58.51393562,weight,2,"SKUT1,SKUT2"
1,2,Austin,VoltEdge,International,999924.7619,118386.2853,33,67.3350008,99.65175528,volume,2,"SKUE1,SKUE2"
1,3,Columbus,Canvas & Co.,Domestic,15074.7619,376.8690476,1,33.4994709,10.46858466,weight,1,SKUA3
1,3,Columbus,Bound to Learn,Domestic,982928.5714,47657.14286,22,99.28571429,60.17316017,weight,1,SKUT2
1,3,Columbus,Form & Function,Domestic,105178.5714,89752.38095,25,9.349206349,99.72486772,volume,1,SKUD2
1,3,Sacramento,The Write Stuff,International,81141.66667,1573.522928,2,90.15740741,21.85448511,weight,3,"SKUW1,SKUW2,SKUW3"
1,3,Sacramento,Canvas & Co.,Domestic,4760,43.04108796,1,10.57777778,1.195585777,weight,1,SKUA1
1,3,Sacramento,Bound to Learn,Domestic,528392.8571,25619.04762,12,97.8505291,59.30335097,weight,1,SKUT3
1,3,Sacramento,Form & Function,Domestic,124210.7143,123974.619,35,7.886394558,98.3925548,volume,2,"SKUD1,SKUD3"
1,3,Sacramento,VoltEdge,International,45105.71429,870.0947972,2,50.11746032,12.08464996,weight,1,SKUE1
1,3,Austin,Canvas & Co.,Domestic,8803.428571,297.183642,1,19.5631746,8.255101166,weight,1,SKUA2
1,3,Austin,Bound to Learn,Domestic,49478.57143,1443.125,2,54.97619048,20.04340278,weight,2,"SKUT1,SKUT4"
1,3,Austin,Form & Function,Domestic,527507.619,176103.4074,49,23.92324803,99.83186361,volume,2,"SKUC1,SKUC2"
1,3,Austin,VoltEdge,International,1042019.048,131468.1905,37,62.58372658,98.6998427,volume,2,"SKUE2,SKUE3"
