Month,Day,Storage_Type,Total_Capacity_Units,Used_Units,Utilization_Pct
109,1,Pallet,3583152,211486.47619047615,5.902246853900593
109,1,Racking,3107328,56635.428571428565,1.8226408210342957
109,1,Bins,10631520,106598.76190476191,1.0026671812192605
109,1,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,2,Pallet,3583152,211486.47619047615,5.902246853900593
109,2,Racking,3107328,56635.428571428565,1.8226408210342957
109,2,Bins,10631520,106598.76190476191,1.0026671812192605
109,2,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,3,Pallet,3583152,211486.47619047615,5.902246853900593
109,3,Racking,3107328,56635.428571428565,1.8226408210342957
109,3,Bins,10631520,106598.76190476191,1.0026671812192605
109,3,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,4,Pallet,3583152,211486.47619047615,5.902246853900593
109,4,Racking,3107328,56635.428571428565,1.8226408210342957
109,4,Bins,10631520,106598.76190476191,1.0026671812192605
109,4,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,5,Pallet,3583152,211486.47619047615,5.902246853900593
109,5,Racking,3107328,56635.428571428565,1.8226408210342957
109,5,Bins,10631520,106598.76190476191,1.0026671812192605
109,5,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,6,Pallet,3583152,211486.47619047615,5.902246853900593
109,6,Racking,3107328,56635.428571428565,1.8226408210342957
109,6,Bins,10631520,106598.76190476191,1.0026671812192605
109,6,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,7,Pallet,3583152,211486.47619047615,5.902246853900593
109,7,Racking,3107328,56635.428571428565,1.8226408210342957
109,7,Bins,10631520,106598.76190476191,1.0026671812192605
109,7,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,8,Pallet,3583152,211486.47619047615,5.902246853900593
109,8,Racking,3107328,56635.428571428565,1.8226408210342957
109,8,Bins,10631520,106598.76190476191,1.0026671812192605
109,8,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,9,Pallet,3583152,211486.47619047615,5.902246853900593
109,9,Racking,3107328,56635.428571428565,1.8226408210342957
109,9,Bins,10631520,106598.76190476191,1.0026671812192605
109,9,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,10,Pallet,3583152,211486.47619047615,5.902246853900593
109,10,Racking,3107328,56635.428571428565,1.8226408210342957
109,10,Bins,10631520,106598.76190476191,1.0026671812192605
109,10,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,11,Pallet,3583152,211486.47619047615,5.902246853900593
109,11,Racking,3107328,56635.428571428565,1.8226408210342957
109,11,Bins,10631520,106598.76190476191,1.0026671812192605
