Month,Day,Date_String,Year,SKU,Facility,Daily_Demand,Facility_Capacity,Utilization_Pct,Available_Capacity
109,1,M109D1,10,SKUW1,Columbus,2948.714285714286,118681920,0.0024845522264168676,118678971.28571428
109,1,M109D1,10,SKUW1,Sacramento,2948.714285714286,23091200,0.012769861617041496,23088251.285714287
109,1,M109D1,10,SKUW1,Austin,2948.714285714286,24081216,0.012244872874003896,24078267.285714287
109,1,M109D1,10,SKUW2,Columbus,5796.285714285715,59340960,0.009767765324803836,59335163.71428572
109,1,M109D1,10,SKUW2,Sacramento,5796.285714285715,11545600,0.05020341700981945,11539803.714285715
109,1,M109D1,10,SKUW2,Austin,5796.285714285715,12040608,0.048139476962340395,12034811.714285715
109,1,M109D1,10,SKUW3,Columbus,3902.095238095238,59340960,0.006575719769439587,59337057.9047619
109,1,M109D1,10,SKUW3,Sacramento,3902.095238095238,11545600,0.03379724949846901,11541697.904761905
109,1,M109D1,10,SKUW3,Austin,3902.095238095238,12040608,0.03240779234815416,12036705.904761905
109,1,M109D1,10,SKUA1,Columbus,1126.3809523809523,35450400,0.003177343421741228,35449273.61904762
109,1,M109D1,10,SKUA1,Sacramento,1126.3809523809523,9424480,0.01195165093862953,9423353.61904762
109,1,M109D1,10,SKUA1,Austin,1126.3809523809523,9638760,0.011685952885858268,9637633.61904762
109,1,M109D1,10,SKUA2,Columbus,2232.5238095238096,35744800,0.0062457303146858,35742567.47619048
109,1,M109D1,10,SKUA2,Sacramento,2232.5238095238096,9454816,0.023612556918334634,9452583.476190476
109,1,M109D1,10,SKUA2,Austin,2232.5238095238096,9724520,0.022957676158039775,9722287.476190476
109,1,M109D1,10,SKUA3,Columbus,3860.285714285714,42619680,0.009057519235915695,42615819.71428572
109,1,M109D1,10,SKUA3,Sacramento,3860.285714285714,32157600,0.012004271818437055,32153739.714285713
109,1,M109D1,10,SKUA3,Austin,3860.285714285714,28238472,0.013670306645082335,28234611.714285713
109,1,M109D1,10,SKUT1,Columbus,2830.3809523809523,7648360,0.037006377215258596,7645529.619047619
109,1,M109D1,10,SKUT1,Sacramento,2830.3809523809523,2186088,0.1294724161324225,2183257.619047619
109,1,M109D1,10,SKUT1,Austin,2830.3809523809523,2078496,0.13617447194418233,2075665.619047619
109,1,M109D1,10,SKUT2,Columbus,3335.1428571428573,7648360,0.04360598686702584,7645024.857142857
109,1,M109D1,10,SKUT2,Sacramento,3335.1428571428573,2186088,0.15256215015785538,2182752.8571428573
109,1,M109D1,10,SKUT2,Austin,3335.1428571428573,2078496,0.16045943110512878,2075160.857142857
109,1,M109D1,10,SKUT3,Columbus,2367.285714285714,7648360,0.030951546662104215,7645992.714285715
109,1,M109D1,10,SKUT3,Sacramento,2367.285714285714,2186088,0.10828867430248527,2183720.714285714
109,1,M109D1,10,SKUT3,Austin,2367.285714285714,2078496,0.11389416743095558,2076128.7142857143
109,1,M109D1,10,SKUT4,Columbus,2022.4761904761904,7648360,0.026443266144326242,7646337.523809524
109,1,M109D1,10,SKUT4,Sacramento,2022.4761904761904,2186088,0.0925157720309608,2184065.523809524
109,1,M109D1,10,SKUT4,Austin,2022.4761904761904,2078496,0.09730479108336944,2076473.5238095238
109,1,M109D1,10,SKUD1,Columbus,5198.380952380952,1203680,0.43187399910116914,1198481.619047619
109,1,M109D1,10,SKUD1,Sacramento,5198.380952380952,318224,1.6335603073246996,313025.61904761905
109,1,M109D1,10,SKUD1,Austin,5198.380952380952,305952,1.6990838276530151,300753.61904761905
109,1,M109D1,10,SKUD2,Columbus,3092.5238095238096,172680,1.7908986619896976,169587.47619047618
109,1,M109D1,10,SKUD2,Sacramento,3092.5238095238096,79828,3.8739838271330984,76735.47619047618
109,1,M109D1,10,SKUD2,Austin,3092.5238095238096,79368,3.8964366111327107,76275.47619047618
109,1,M109D1,10,SKUD3,Columbus,4663.476190476191,172480,2.7037779397473276,167816.52380952382
109,1,M109D1,10,SKUD3,Sacramento,4663.476190476191,74760,6.237929628780352,70096.52380952382
109,1,M109D1,10,SKUD3,Austin,4663.476190476191,75096,6.210019429099008,70432.52380952382
109,1,M109D1,10,SKUC1,Columbus,5499.619047619048,154200,3.5665493175220804,148700.38095238095
109,1,M109D1,10,SKUC1,Sacramento,5499.619047619048,71818,7.657716794701952,66318.38095238095
109,1,M109D1,10,SKUC1,Austin,5499.619047619048,72216,7.615513248613946,66716.38095238095
109,1,M109D1,10,SKUC2,Columbus,3958.3809523809523,1419280,0.27890063640585033,1415321.619047619
109,1,M109D1,10,SKUC2,Sacramento,3958.3809523809523,468224,0.8454032583509072,464265.61904761905
109,1,M109D1,10,SKUC2,Austin,3958.3809523809523,472296,0.8381144350959889,468337.61904761905
109,1,M109D1,10,SKUE1,Columbus,3752.714285714286,257107200,0.0014595912855471513,257103447.2857143
109,1,M109D1,10,SKUE1,Sacramento,3752.714285714286,72665600,0.005164361521427314,72661847.28571428
109,1,M109D1,10,SKUE1,Austin,3752.714285714286,69391680,0.005408017626485316,69387927.28571428
109,1,M109D1,10,SKUE2,Columbus,3962.285714285714,7648360,0.05180569055700456,7644397.714285715
109,1,M109D1,10,SKUE2,Sacramento,3962.285714285714,2186088,0.18125005554605825,2182125.714285714
109,1,M109D1,10,SKUE2,Austin,3962.285714285714,2078496,0.19063234734566312,2074533.7142857143
109,1,M109D1,10,SKUE3,Columbus,459.2857142857143,4077120,0.011264954533732495,4076660.714285714
109,1,M109D1,10,SKUE3,Sacramento,459.2857142857143,1036720,0.04430180900201735,1036260.7142857143
109,1,M109D1,10,SKUE3,Austin,459.2857142857143,1004208,0.045736113861442475,1003748.7142857143
109,2,M109D2,10,SKUW1,Columbus,2948.714285714286,118681920,0.0024845522264168676,118678971.28571428
109,2,M109D2,10,SKUW1,Sacramento,2948.714285714286,23091200,0.012769861617041496,23088251.285714287
