t_month,s,f,level,marginal,lower,upper,scale
1,SKUW1,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUW1,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUW1,Austin,148.88888888888889,0.0,0.0,inf,1.0
1,SKUW2,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUW2,Sacramento,234.65833333333333,0.0,0.0,inf,1.0
1,SKUW2,Austin,0.0,0.0,0.0,inf,1.0
1,SKUW3,Columbus,226.13333333333333,0.0,0.0,inf,1.0
1,SKUW3,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUW3,Austin,0.0,0.0,0.0,inf,1.0
1,SKUA1,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUA1,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUA1,Austin,833.0,0.0,0.0,inf,1.0
1,SKUA2,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUA2,Sacramento,440.1714285714286,0.0,0.0,inf,1.0
1,SKUA2,Austin,0.0,0.0,0.0,inf,1.0
1,SKUA3,Columbus,316.57,0.0,0.0,inf,1.0
1,SKUA3,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUA3,Austin,0.0,0.0,0.0,inf,1.0
1,SKUT1,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUT1,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUT1,Austin,7607.0,0.0,0.0,inf,1.0
1,SKUT2,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUT2,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUT2,Austin,586.40625,0.0,0.0,inf,1.0
1,SKUT3,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUT3,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUT3,Austin,315.234375,0.0,0.0,inf,1.0
1,SKUT4,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUT4,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUT4,Austin,6247.0,0.0,0.0,inf,1.0
1,SKUD1,Columbus,41374.0,0.0,0.0,inf,1.0
1,SKUD1,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUD1,Austin,0.0,0.0,0.0,inf,1.0
1,SKUD2,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUD2,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUD2,Austin,29450.0,0.0,0.0,inf,1.0
1,SKUD3,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUD3,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUD3,Austin,39063.0,0.0,0.0,inf,1.0
1,SKUC1,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUC1,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUC1,Austin,50731.0,0.0,0.0,inf,1.0
1,SKUC2,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUC2,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUC2,Austin,1673.7083333333333,0.0,0.0,inf,1.0
1,SKUE1,Columbus,0.0,0.0,0.0,inf,1.0
1,SKUE1,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUE1,Austin,315.74,0.0,0.0,inf,1.0
1,SKUE2,Columbus,642.6666666666666,0.0,0.0,inf,1.0
1,SKUE2,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUE2,Austin,0.0,0.0,0.0,inf,1.0
1,SKUE3,Columbus,190.75,0.0,0.0,inf,1.0
1,SKUE3,Sacramento,0.0,0.0,0.0,inf,1.0
1,SKUE3,Austin,200.33333333333331,0.0,0.0,inf,1.0
2,SKUW1,Columbus,0.0,0.0,0.0,inf,1.0
2,SKUW1,Sacramento,157.79861111111111,0.0,0.0,inf,1.0
2,SKUW1,Austin,0.0,0.0,0.0,inf,1.0
2,SKUW2,Columbus,265.76666666666665,0.0,0.0,inf,1.0
2,SKUW2,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUW2,Austin,0.0,0.0,0.0,inf,1.0
2,SKUW3,Columbus,0.0,0.0,0.0,inf,1.0
2,SKUW3,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUW3,Austin,211.4,0.0,0.0,inf,1.0
2,SKUA1,Columbus,856.2666666666667,0.0,0.0,inf,1.0
2,SKUA1,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUA1,Austin,0.0,0.0,0.0,inf,1.0
2,SKUA2,Columbus,538.7714285714286,0.0,0.0,inf,1.0
2,SKUA2,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUA2,Austin,0.0,0.0,0.0,inf,1.0
2,SKUA3,Columbus,347.93,0.0,0.0,inf,1.0
2,SKUA3,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUA3,Austin,0.0,0.0,0.0,inf,1.0
2,SKUT1,Columbus,0.0,0.0,0.0,inf,1.0
2,SKUT1,Sacramento,8677.333333333332,0.0,0.0,inf,1.0
2,SKUT1,Austin,0.0,0.0,0.0,inf,1.0
2,SKUT2,Columbus,579.765625,0.0,0.0,inf,1.0
2,SKUT2,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUT2,Austin,0.0,0.0,0.0,inf,1.0
2,SKUT3,Columbus,343.03125,0.0,0.0,inf,1.0
2,SKUT3,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUT3,Austin,0.0,0.0,0.0,inf,1.0
2,SKUT4,Columbus,0.0,0.0,0.0,inf,1.0
2,SKUT4,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUT4,Austin,6842.333333333333,0.0,0.0,inf,1.0
2,SKUD1,Columbus,52469.0,0.0,0.0,inf,1.0
2,SKUD1,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUD1,Austin,0.0,0.0,0.0,inf,1.0
2,SKUD2,Columbus,31190.0,0.0,0.0,inf,1.0
2,SKUD2,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUD2,Austin,0.0,0.0,0.0,inf,1.0
2,SKUD3,Columbus,38678.0,0.0,0.0,inf,1.0
2,SKUD3,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUD3,Austin,0.0,0.0,0.0,inf,1.0
2,SKUC1,Columbus,51020.0,0.0,0.0,inf,1.0
2,SKUC1,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUC1,Austin,0.0,0.0,0.0,inf,1.0
2,SKUC2,Columbus,1799.75,0.0,0.0,inf,1.0
2,SKUC2,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUC2,Austin,0.0,0.0,0.0,inf,1.0
2,SKUE1,Columbus,342.31,0.0,0.0,inf,1.0
2,SKUE1,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUE1,Austin,0.0,0.0,0.0,inf,1.0
2,SKUE2,Columbus,671.25,0.0,0.0,inf,1.0
2,SKUE2,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUE2,Austin,0.0,0.0,0.0,inf,1.0
2,SKUE3,Columbus,0.0,0.0,0.0,inf,1.0
2,SKUE3,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUE3,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUW1,Columbus,160.375,0.0,0.0,inf,1.0
3,SKUW1,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUW1,Austin,582.4027777777777,0.0,0.0,inf,1.0
3,SKUW2,Columbus,238.95833333333334,0.0,0.0,inf,1.0
3,SKUW2,Sacramento,575.0416666666666,0.0,0.0,inf,1.0
3,SKUW2,Austin,0.0,0.0,0.0,inf,1.0
3,SKUW3,Columbus,0.0,0.0,0.0,inf,1.0
3,SKUW3,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUW3,Austin,240.92499999999998,0.0,0.0,inf,1.0
3,SKUA1,Columbus,989.1999999999999,0.0,0.0,inf,1.0
3,SKUA1,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUA1,Austin,0.0,0.0,0.0,inf,1.0
3,SKUA2,Columbus,514.1999999999999,0.0,0.0,inf,1.0
3,SKUA2,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUA2,Austin,0.0,0.0,0.0,inf,1.0
3,SKUA3,Columbus,379.6,0.0,0.0,inf,1.0
3,SKUA3,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUA3,Austin,0.0,0.0,0.0,inf,1.0
3,SKUT1,Columbus,0.0,0.0,0.0,inf,1.0
3,SKUT1,Sacramento,8931.0,0.0,0.0,inf,1.0
3,SKUT1,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUT2,Columbus,519.40625,0.0,0.0,inf,1.0
3,SKUT2,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUT2,Austin,0.0,0.0,0.0,inf,1.0
3,SKUT3,Columbus,411.40625,0.0,0.0,inf,1.0
3,SKUT3,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUT3,Austin,0.0,0.0,0.0,inf,1.0
3,SKUT4,Columbus,0.0,0.0,0.0,inf,1.0
3,SKUT4,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUT4,Austin,7213.333333333333,0.0,0.0,inf,1.0
3,SKUD1,Columbus,49754.0,0.0,0.0,inf,1.0
3,SKUD1,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUD1,Austin,0.0,0.0,0.0,inf,1.0
3,SKUD2,Columbus,29659.0,0.0,0.0,inf,1.0
3,SKUD2,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUD2,Austin,0.0,0.0,0.0,inf,1.0
3,SKUD3,Columbus,40639.0,0.0,0.0,inf,1.0
3,SKUD3,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUD3,Austin,0.0,0.0,0.0,inf,1.0
3,SKUC1,Columbus,53835.0,0.0,0.0,inf,1.0
3,SKUC1,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUC1,Austin,0.0,0.0,0.0,inf,1.0
3,SKUC2,Columbus,1754.875,0.0,0.0,inf,1.0
3,SKUC2,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUC2,Austin,0.0,0.0,0.0,inf,1.0
3,SKUE1,Columbus,391.15000000000003,0.0,0.0,inf,1.0
3,SKUE1,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUE1,Austin,0.0,0.0,0.0,inf,1.0
3,SKUE2,Columbus,0.0,0.0,0.0,inf,1.0
3,SKUE2,Sacramento,700.0166666666667,0.0,0.0,inf,1.0
3,SKUE2,Austin,0.0,0.0,0.0,inf,1.0
3,SKUE3,Columbus,0.0,0.0,0.0,inf,1.0
3,SKUE3,Sacramento,0.0,0.0,0.0,inf,1.0
3,SKUE3,Austin,189.95833333333331,0.0,0.0,inf,1.0
4,SKUW1,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUW1,Sacramento,0.0,0.0,0.0,inf,1.0
4,SKUW1,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUW2,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
4,SKUW2,Austin,0.0,0.0,0.0,inf,1.0
4,SKUW3,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUW3,Sacramento,0.0,0.0,0.0,inf,1.0
4,SKUW3,Austin,216.80833333333334,0.0,0.0,inf,1.0
4,SKUA1,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUA1,Sacramento,1048.4666666666667,0.0,0.0,inf,1.0
4,SKUA1,Austin,0.0,0.0,0.0,inf,1.0
4,SKUA2,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUA2,Sacramento,0.0,0.0,0.0,inf,1.0
4,SKUA2,Austin,577.2857142857142,0.0,0.0,inf,1.0
4,SKUA3,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUA3,Sacramento,377.68,0.0,0.0,inf,1.0
4,SKUA3,Austin,0.0,0.0,0.0,inf,1.0
4,SKUT1,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUT1,Sacramento,8568.333333333332,0.0,0.0,inf,1.0
4,SKUT1,Austin,0.0,0.0,0.0,inf,1.0
4,SKUT2,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUT2,Sacramento,664.84375,0.0,0.0,inf,1.0
4,SKUT2,Austin,0.0,0.0,0.0,inf,1.0
4,SKUT3,Columbus,403.671875,0.0,0.0,inf,1.0
4,SKUT3,Sacramento,0.0,0.0,0.0,inf,1.0
4,SKUT3,Austin,0.0,0.0,0.0,inf,1.0
4,SKUT4,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUT4,Sacramento,7131.333333333333,0.0,0.0,inf,1.0
4,SKUT4,Austin,0.0,0.0,0.0,inf,1.0
4,SKUD1,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUD1,Sacramento,51721.0,0.0,0.0,inf,1.0
4,SKUD1,Austin,0.0,0.0,0.0,inf,1.0
4,SKUD2,Columbus,33343.0,0.0,0.0,inf,1.0
4,SKUD2,Sacramento,0.0,0.0,0.0,inf,1.0
4,SKUD2,Austin,0.0,0.0,0.0,inf,1.0
4,SKUD3,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUD3,Sacramento,45768.0,0.0,0.0,inf,1.0
4,SKUD3,Austin,0.0,0.0,0.0,inf,1.0
4,SKUC1,Columbus,56743.0,0.0,0.0,inf,1.0
4,SKUC1,Sacramento,0.0,0.0,0.0,inf,1.0
4,SKUC1,Austin,0.0,0.0,0.0,inf,1.0
4,SKUC2,Columbus,1946.5833333333333,0.0,0.0,inf,1.0
4,SKUC2,Sacramento,0.0,0.0,0.0,inf,1.0
4,SKUC2,Austin,0.0,0.0,0.0,inf,1.0
4,SKUE1,Columbus,21.0,0.0,0.0,inf,1.0
4,SKUE1,Sacramento,0.0,0.0,0.0,inf,1.0
4,SKUE1,Austin,338.7,0.0,0.0,inf,1.0
4,SKUE2,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUE2,Sacramento,703.75,0.0,0.0,inf,1.0
4,SKUE2,Austin,0.0,0.0,0.0,inf,1.0
4,SKUE3,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUE3,Sacramento,212.91666666666666,0.0,0.0,inf,1.0
4,SKUE3,Austin,0.0,0.0,0.0,inf,1.0
5,SKUW1,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUW1,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUW1,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUW2,Columbus,267.23333333333335,0.0,0.0,inf,1.0
5,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUW2,Austin,0.0,0.0,0.0,inf,1.0
5,SKUW3,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUW3,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUW3,Austin,239.66666666666666,0.0,0.0,inf,1.0
5,SKUA1,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUA1,Sacramento,1130.7333333333333,0.0,0.0,inf,1.0
5,SKUA1,Austin,0.0,0.0,0.0,inf,1.0
5,SKUA2,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUA2,Sacramento,615.1428571428571,0.0,0.0,inf,1.0
5,SKUA2,Austin,0.0,0.0,0.0,inf,1.0
5,SKUA3,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUA3,Sacramento,396.44,0.0,0.0,inf,1.0
5,SKUA3,Austin,0.0,0.0,0.0,inf,1.0
5,SKUT1,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUT1,Sacramento,9641.666666666666,0.0,0.0,inf,1.0
5,SKUT1,Austin,0.0,0.0,0.0,inf,1.0
5,SKUT2,Columbus,1258.96875,0.0,0.0,inf,1.0
5,SKUT2,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUT2,Austin,0.0,0.0,0.0,inf,1.0
5,SKUT3,Columbus,471.96875,0.0,0.0,inf,1.0
5,SKUT3,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUT3,Austin,0.0,0.0,0.0,inf,1.0
5,SKUT4,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUT4,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUT4,Austin,8435.333333333332,0.0,0.0,inf,1.0
5,SKUD1,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUD1,Sacramento,53438.0,0.0,0.0,inf,1.0
5,SKUD1,Austin,0.0,0.0,0.0,inf,1.0
5,SKUD2,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUD2,Sacramento,34128.0,0.0,0.0,inf,1.0
5,SKUD2,Austin,0.0,0.0,0.0,inf,1.0
5,SKUD3,Columbus,50107.0,0.0,0.0,inf,1.0
5,SKUD3,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUD3,Austin,0.0,0.0,0.0,inf,1.0
5,SKUC1,Columbus,58540.0,0.0,0.0,inf,1.0
5,SKUC1,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUC1,Austin,0.0,0.0,0.0,inf,1.0
5,SKUC2,Columbus,2033.375,0.0,0.0,inf,1.0
5,SKUC2,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUC2,Austin,0.0,0.0,0.0,inf,1.0
5,SKUE1,Columbus,387.84000000000003,0.0,0.0,inf,1.0
5,SKUE1,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUE1,Austin,0.0,0.0,0.0,inf,1.0
5,SKUE2,Columbus,791.9166666666666,0.0,0.0,inf,1.0
5,SKUE2,Sacramento,0.0,0.0,0.0,inf,1.0
5,SKUE2,Austin,0.0,0.0,0.0,inf,1.0
5,SKUE3,Columbus,0.0,0.0,0.0,inf,1.0
5,SKUE3,Sacramento,235.29166666666666,0.0,0.0,inf,1.0
5,SKUE3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUW1,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUW1,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUW1,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUW2,Columbus,283.275,0.0,0.0,inf,1.0
6,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUW2,Austin,0.0,0.0,0.0,inf,1.0
6,SKUW3,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUW3,Sacramento,270.4583333333333,0.0,0.0,inf,1.0
6,SKUW3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUA1,Columbus,1250.0,0.0,0.0,inf,1.0
6,SKUA1,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUA1,Austin,0.0,0.0,0.0,inf,1.0
6,SKUA2,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUA2,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUA2,Austin,804.0571428571428,0.0,0.0,inf,1.0
6,SKUA3,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUA3,Sacramento,480.71000000000004,0.0,0.0,inf,1.0
6,SKUA3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUT1,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUT1,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUT1,Austin,10456.666666666666,0.0,0.0,inf,1.0
6,SKUT2,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUT2,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUT2,Austin,0.0,0.0,0.0,inf,1.0
6,SKUT3,Columbus,502.03125,0.0,0.0,inf,1.0
6,SKUT3,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUT3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUT4,Columbus,9503.333333333332,0.0,0.0,inf,1.0
6,SKUT4,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUT4,Austin,0.0,0.0,0.0,inf,1.0
6,SKUD1,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUD1,Sacramento,65106.0,0.0,0.0,inf,1.0
6,SKUD1,Austin,0.0,0.0,0.0,inf,1.0
6,SKUD2,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUD2,Sacramento,36854.0,0.0,0.0,inf,1.0
6,SKUD2,Austin,0.0,0.0,0.0,inf,1.0
6,SKUD3,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUD3,Sacramento,49345.0,0.0,0.0,inf,1.0
6,SKUD3,Austin,0.0,0.0,0.0,inf,1.0
6,SKUC1,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUC1,Sacramento,67168.0,0.0,0.0,inf,1.0
6,SKUC1,Austin,0.0,0.0,0.0,inf,1.0
6,SKUC2,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUC2,Sacramento,2399.708333333333,0.0,0.0,inf,1.0
6,SKUC2,Austin,0.0,0.0,0.0,inf,1.0
6,SKUE1,Columbus,443.55,0.0,0.0,inf,1.0
6,SKUE1,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUE1,Austin,0.0,0.0,0.0,inf,1.0
6,SKUE2,Columbus,0.0,0.0,0.0,inf,1.0
6,SKUE2,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUE2,Austin,832.25,0.0,0.0,inf,1.0
6,SKUE3,Columbus,255.20833333333331,0.0,0.0,inf,1.0
6,SKUE3,Sacramento,0.0,0.0,0.0,inf,1.0
6,SKUE3,Austin,0.0,0.0,0.0,inf,1.0
7,SKUW1,Columbus,219.69444444444443,0.0,0.0,inf,1.0
7,SKUW1,Sacramento,0.0,0.0,0.0,inf,1.0
7,SKUW1,Austin,514.8472222222222,0.0,0.0,inf,1.0
7,SKUW2,Columbus,306.575,0.0,0.0,inf,1.0
7,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
