t_month,s,f,level,marginal,lower,upper,scale
1,SKUW1,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUW1,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUW1,Austin,21440.0,0.0,0.0,inf,1.0
1,SKUW2,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUW2,Sacramento,28159.0,0.0,0.0,inf,1.0
1,SKUW2,Austin,0.0,-0.0,0.0,inf,1.0
1,SKUW3,Columbus,27136.0,0.0,0.0,inf,1.0
1,SKUW3,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUW3,Austin,0.0,-0.0,0.0,inf,1.0
1,SKUA1,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUA1,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUA1,Austin,12495.0,0.0,0.0,inf,1.0
1,SKUA2,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUA2,Sacramento,15406.0,0.0,0.0,inf,1.0
1,SKUA2,Austin,0.0,-0.0,0.0,inf,1.0
1,SKUA3,Columbus,31657.0,0.0,0.0,inf,1.0
1,SKUA3,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUA3,Austin,0.0,-0.0,0.0,inf,1.0
1,SKUT1,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUT1,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUT1,Austin,22821.0,0.0,0.0,inf,1.0
1,SKUT2,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUT2,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUT2,Austin,37530.0,0.0,0.0,inf,1.0
1,SKUT3,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUT3,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUT3,Austin,20175.0,0.0,0.0,inf,1.0
1,SKUT4,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUT4,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUT4,Austin,18741.0,0.0,0.0,inf,1.0
1,SKUD1,Columbus,41374.0,0.0,0.0,inf,1.0
1,SKUD1,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUD1,Austin,0.0,-0.0,0.0,inf,1.0
1,SKUD2,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUD2,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUD2,Austin,29450.0,0.0,0.0,inf,1.0
1,SKUD3,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUD3,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUD3,Austin,39063.0,0.0,0.0,inf,1.0
1,SKUC1,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUC1,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUC1,Austin,50731.0,0.0,0.0,inf,1.0
1,SKUC2,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUC2,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUC2,Austin,40169.0,0.0,0.0,inf,1.0
1,SKUE1,Columbus,0.0,-0.0,0.0,inf,1.0
1,SKUE1,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUE1,Austin,31574.0,0.0,0.0,inf,1.0
1,SKUE2,Columbus,38560.0,0.0,0.0,inf,1.0
1,SKUE2,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUE2,Austin,0.0,-0.0,0.0,inf,1.0
1,SKUE3,Columbus,4578.0,0.0,0.0,inf,1.0
1,SKUE3,Sacramento,0.0,-0.0,0.0,inf,1.0
1,SKUE3,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUW1,Columbus,0.0,-0.0,0.0,inf,1.0
2,SKUW1,Sacramento,22723.0,0.0,0.0,inf,1.0
2,SKUW1,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUW2,Columbus,31892.0,0.0,0.0,inf,1.0
2,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUW2,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUW3,Columbus,0.0,-0.0,0.0,inf,1.0
2,SKUW3,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUW3,Austin,25368.0,0.0,0.0,inf,1.0
2,SKUA1,Columbus,12844.0,0.0,0.0,inf,1.0
2,SKUA1,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUA1,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUA2,Columbus,18857.0,0.0,0.0,inf,1.0
2,SKUA2,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUA2,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUA3,Columbus,34793.0,0.0,0.0,inf,1.0
2,SKUA3,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUA3,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUT1,Columbus,0.0,-0.0,0.0,inf,1.0
2,SKUT1,Sacramento,26032.0,0.0,0.0,inf,1.0
2,SKUT1,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUT2,Columbus,37105.0,0.0,0.0,inf,1.0
2,SKUT2,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUT2,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUT3,Columbus,21954.0,0.0,0.0,inf,1.0
2,SKUT3,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUT3,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUT4,Columbus,0.0,-0.0,0.0,inf,1.0
2,SKUT4,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUT4,Austin,20527.0,0.0,0.0,inf,1.0
2,SKUD1,Columbus,52469.0,0.0,0.0,inf,1.0
2,SKUD1,Sacramento,0.0,0.0,0.0,inf,1.0
2,SKUD1,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUD2,Columbus,31190.0,0.0,0.0,inf,1.0
2,SKUD2,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUD2,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUD3,Columbus,38678.0,0.0,0.0,inf,1.0
2,SKUD3,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUD3,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUC1,Columbus,51020.0,0.0,0.0,inf,1.0
2,SKUC1,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUC1,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUC2,Columbus,43194.0,0.0,0.0,inf,1.0
2,SKUC2,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUC2,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUE1,Columbus,34231.0,0.0,0.0,inf,1.0
2,SKUE1,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUE1,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUE2,Columbus,40275.0,0.0,0.0,inf,1.0
2,SKUE2,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUE2,Austin,0.0,-0.0,0.0,inf,1.0
2,SKUE3,Columbus,0.0,-0.0,0.0,inf,1.0
2,SKUE3,Sacramento,0.0,-0.0,0.0,inf,1.0
2,SKUE3,Austin,4808.0,0.0,0.0,inf,1.0
3,SKUW1,Columbus,23094.0,0.0,0.0,inf,1.0
3,SKUW1,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUW1,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUW2,Columbus,28675.0,0.0,0.0,inf,1.0
3,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUW2,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUW3,Columbus,0.0,-0.0,0.0,inf,1.0
3,SKUW3,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUW3,Austin,28911.0,0.0,0.0,inf,1.0
3,SKUA1,Columbus,14838.0,0.0,0.0,inf,1.0
3,SKUA1,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUA1,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUA2,Columbus,17997.0,0.0,0.0,inf,1.0
3,SKUA2,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUA2,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUA3,Columbus,37960.0,0.0,0.0,inf,1.0
3,SKUA3,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUA3,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUT1,Columbus,0.0,-0.0,0.0,inf,1.0
3,SKUT1,Sacramento,26793.0,0.0,0.0,inf,1.0
3,SKUT1,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUT2,Columbus,33242.0,0.0,0.0,inf,1.0
3,SKUT2,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUT2,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUT3,Columbus,26330.0,0.0,0.0,inf,1.0
3,SKUT3,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUT3,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUT4,Columbus,0.0,-0.0,0.0,inf,1.0
3,SKUT4,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUT4,Austin,21640.0,0.0,0.0,inf,1.0
3,SKUD1,Columbus,49754.0,0.0,0.0,inf,1.0
3,SKUD1,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUD1,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUD2,Columbus,29659.0,0.0,0.0,inf,1.0
3,SKUD2,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUD2,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUD3,Columbus,40639.0,0.0,0.0,inf,1.0
3,SKUD3,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUD3,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUC1,Columbus,53835.0,0.0,0.0,inf,1.0
3,SKUC1,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUC1,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUC2,Columbus,42117.0,0.0,0.0,inf,1.0
3,SKUC2,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUC2,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUE1,Columbus,39115.0,0.0,0.0,inf,1.0
3,SKUE1,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUE1,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUE2,Columbus,0.0,-0.0,0.0,inf,1.0
3,SKUE2,Sacramento,42001.0,0.0,0.0,inf,1.0
3,SKUE2,Austin,0.0,-0.0,0.0,inf,1.0
3,SKUE3,Columbus,0.0,-0.0,0.0,inf,1.0
3,SKUE3,Sacramento,0.0,-0.0,0.0,inf,1.0
3,SKUE3,Austin,4559.0,0.0,0.0,inf,1.0
4,SKUW1,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUW1,Sacramento,0.0,-0.0,0.0,inf,1.0
4,SKUW1,Austin,25617.0,0.0,0.0,inf,1.0
4,SKUW2,Columbus,0.0,0.0,0.0,inf,1.0
4,SKUW2,Sacramento,30054.0,0.0,0.0,inf,1.0
4,SKUW2,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUW3,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUW3,Sacramento,0.0,-0.0,0.0,inf,1.0
4,SKUW3,Austin,26017.0,0.0,0.0,inf,1.0
4,SKUA1,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUA1,Sacramento,15727.0,0.0,0.0,inf,1.0
4,SKUA1,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUA2,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUA2,Sacramento,0.0,-0.0,0.0,inf,1.0
4,SKUA2,Austin,20205.0,0.0,0.0,inf,1.0
4,SKUA3,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUA3,Sacramento,37768.0,0.0,0.0,inf,1.0
4,SKUA3,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUT1,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUT1,Sacramento,25705.0,0.0,0.0,inf,1.0
4,SKUT1,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUT2,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUT2,Sacramento,42550.0,0.0,0.0,inf,1.0
4,SKUT2,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUT3,Columbus,25835.0,0.0,0.0,inf,1.0
4,SKUT3,Sacramento,0.0,-0.0,0.0,inf,1.0
4,SKUT3,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUT4,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUT4,Sacramento,21394.0,0.0,0.0,inf,1.0
4,SKUT4,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUD1,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUD1,Sacramento,51721.0,0.0,0.0,inf,1.0
4,SKUD1,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUD2,Columbus,33343.0,0.0,0.0,inf,1.0
4,SKUD2,Sacramento,0.0,-0.0,0.0,inf,1.0
4,SKUD2,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUD3,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUD3,Sacramento,45768.0,0.0,0.0,inf,1.0
4,SKUD3,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUC1,Columbus,56743.0,0.0,0.0,inf,1.0
4,SKUC1,Sacramento,0.0,-0.0,0.0,inf,1.0
4,SKUC1,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUC2,Columbus,46718.0,0.0,0.0,inf,1.0
4,SKUC2,Sacramento,0.0,-0.0,0.0,inf,1.0
4,SKUC2,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUE1,Columbus,2100.0,0.0,0.0,inf,1.0
4,SKUE1,Sacramento,0.0,-0.0,0.0,inf,1.0
4,SKUE1,Austin,33870.0,0.0,0.0,inf,1.0
4,SKUE2,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUE2,Sacramento,42225.0,0.0,0.0,inf,1.0
4,SKUE2,Austin,0.0,-0.0,0.0,inf,1.0
4,SKUE3,Columbus,0.0,-0.0,0.0,inf,1.0
4,SKUE3,Sacramento,5110.0,0.0,0.0,inf,1.0
4,SKUE3,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUW1,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUW1,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUW1,Austin,26885.0,0.0,0.0,inf,1.0
5,SKUW2,Columbus,32068.0,0.0,0.0,inf,1.0
5,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUW2,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUW3,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUW3,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUW3,Austin,28760.0,0.0,0.0,inf,1.0
5,SKUA1,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUA1,Sacramento,16961.0,0.0,0.0,inf,1.0
5,SKUA1,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUA2,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUA2,Sacramento,21530.0,0.0,0.0,inf,1.0
5,SKUA2,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUA3,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUA3,Sacramento,39644.0,0.0,0.0,inf,1.0
5,SKUA3,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUT1,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUT1,Sacramento,28925.0,0.0,0.0,inf,1.0
5,SKUT1,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUT2,Columbus,45701.0,0.0,0.0,inf,1.0
5,SKUT2,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUT2,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUT3,Columbus,30206.0,0.0,0.0,inf,1.0
5,SKUT3,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUT3,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUT4,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUT4,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUT4,Austin,25306.0,0.0,0.0,inf,1.0
5,SKUD1,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUD1,Sacramento,53438.0,0.0,0.0,inf,1.0
5,SKUD1,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUD2,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUD2,Sacramento,34128.0,0.0,0.0,inf,1.0
5,SKUD2,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUD3,Columbus,50107.0,0.0,0.0,inf,1.0
5,SKUD3,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUD3,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUC1,Columbus,58540.0,0.0,0.0,inf,1.0
5,SKUC1,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUC1,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUC2,Columbus,48801.0,0.0,0.0,inf,1.0
5,SKUC2,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUC2,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUE1,Columbus,38784.0,0.0,0.0,inf,1.0
5,SKUE1,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUE1,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUE2,Columbus,47515.0,0.0,0.0,inf,1.0
5,SKUE2,Sacramento,0.0,-0.0,0.0,inf,1.0
5,SKUE2,Austin,0.0,-0.0,0.0,inf,1.0
5,SKUE3,Columbus,0.0,-0.0,0.0,inf,1.0
5,SKUE3,Sacramento,5647.0,0.0,0.0,inf,1.0
5,SKUE3,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUW1,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUW1,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUW1,Austin,31364.0,0.0,0.0,inf,1.0
6,SKUW2,Columbus,33993.0,0.0,0.0,inf,1.0
6,SKUW2,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUW2,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUW3,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUW3,Sacramento,32455.0,0.0,0.0,inf,1.0
6,SKUW3,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUA1,Columbus,18750.0,0.0,0.0,inf,1.0
6,SKUA1,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUA1,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUA2,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUA2,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUA2,Austin,28142.0,0.0,0.0,inf,1.0
6,SKUA3,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUA3,Sacramento,48071.0,0.0,0.0,inf,1.0
6,SKUA3,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUT1,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUT1,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUT1,Austin,31370.0,0.0,0.0,inf,1.0
6,SKUT2,Columbus,34873.0,0.0,0.0,inf,1.0
6,SKUT2,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUT2,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUT3,Columbus,32130.0,0.0,0.0,inf,1.0
6,SKUT3,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUT3,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUT4,Columbus,28510.0,0.0,0.0,inf,1.0
6,SKUT4,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUT4,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUD1,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUD1,Sacramento,65106.0,0.0,0.0,inf,1.0
6,SKUD1,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUD2,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUD2,Sacramento,36854.0,0.0,0.0,inf,1.0
6,SKUD2,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUD3,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUD3,Sacramento,49345.0,0.0,0.0,inf,1.0
6,SKUD3,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUC1,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUC1,Sacramento,67168.0,0.0,0.0,inf,1.0
6,SKUC1,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUC2,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUC2,Sacramento,57593.0,0.0,0.0,inf,1.0
6,SKUC2,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUE1,Columbus,44355.0,0.0,0.0,inf,1.0
6,SKUE1,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUE1,Austin,0.0,-0.0,0.0,inf,1.0
6,SKUE2,Columbus,0.0,-0.0,0.0,inf,1.0
6,SKUE2,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUE2,Austin,49935.0,0.0,0.0,inf,1.0
6,SKUE3,Columbus,6125.0,0.0,0.0,inf,1.0
6,SKUE3,Sacramento,0.0,-0.0,0.0,inf,1.0
6,SKUE3,Austin,0.0,-0.0,0.0,inf,1.0
7,SKUW1,Columbus,31636.0,0.0,0.0,inf,1.0
7,SKUW1,Sacramento,0.0,-0.0,0.0,inf,1.0
