t_month,t_day,sup,f,level,marginal,lower,upper,scale
1,1,Domestic,Columbus,93366.17142857143,0.0,0.0,inf,1.0
1,1,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,1,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,1,International,Columbus,336.6388888888889,0.0,0.0,inf,1.0
1,1,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,1,International,Austin,0.0,-0.0,0.0,inf,1.0
1,2,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,2,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,2,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,2,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,2,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,2,International,Austin,225.13333333333333,0.0,0.0,inf,1.0
1,3,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,3,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,3,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,3,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,3,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,3,International,Austin,0.0,-0.0,0.0,inf,1.0
1,4,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,4,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,4,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,4,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,4,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,4,International,Austin,0.0,-0.0,0.0,inf,1.0
1,5,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,5,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,5,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,5,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,5,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,5,International,Austin,184.65833333333333,0.0,0.0,inf,1.0
1,6,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,6,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,6,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,6,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,6,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,6,International,Austin,0.0,-0.0,0.0,inf,1.0
1,7,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,7,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,7,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,7,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,7,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,7,International,Austin,0.0,-0.0,0.0,inf,1.0
1,8,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,8,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,8,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,8,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,8,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,8,International,Austin,0.0,-0.0,0.0,inf,1.0
1,9,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,9,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,9,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,9,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,9,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,9,International,Austin,0.0,-0.0,0.0,inf,1.0
1,10,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,10,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,10,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,10,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,10,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,10,International,Austin,0.0,-0.0,0.0,inf,1.0
1,11,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,11,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,11,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,11,International,Columbus,641.6666666666666,0.0,0.0,inf,1.0
1,11,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,11,International,Austin,0.0,-0.0,0.0,inf,1.0
1,12,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,12,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,12,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,12,International,Columbus,310.74,0.0,0.0,inf,1.0
1,12,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,12,International,Austin,0.0,-0.0,0.0,inf,1.0
1,13,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,13,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,13,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,13,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,13,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,13,International,Austin,0.0,-0.0,0.0,inf,1.0
1,14,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,14,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,14,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,14,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,14,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,14,International,Austin,0.0,-0.0,0.0,inf,1.0
1,15,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,15,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,15,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,15,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,15,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,15,International,Austin,0.0,-0.0,0.0,inf,1.0
1,16,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,16,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,16,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,16,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,16,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,16,International,Austin,0.0,-0.0,0.0,inf,1.0
1,17,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,17,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,17,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,17,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,17,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,17,International,Austin,0.0,-0.0,0.0,inf,1.0
1,18,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,18,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,18,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,18,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,18,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,18,International,Austin,0.0,-0.0,0.0,inf,1.0
1,19,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,19,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,19,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
1,19,International,Columbus,0.0,-0.0,0.0,inf,1.0
1,19,International,Sacramento,0.0,-0.0,0.0,inf,1.0
1,19,International,Austin,0.0,-0.0,0.0,inf,1.0
1,20,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
1,20,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
1,20,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
