SKU,Supplier,Avg_Inventory,Avg_Daily_Demand,DoH_Achieved
SKUW1,International,145016358.24640572,2403.4210317460315,60337.47576098
SKUW2,International,,3870.714285714286,
SKUW3,International,,3111.595634920635,
SKUA1,Domestic,,1112.6607142857142,
SKUA2,Domestic,149660.0,1838.0738095238096,81.42219274577035
SKUA3,Domestic,25178626.54616339,3356.4222222222224,7501.626696266213
SKUT1,Domestic,,2412.1805555555557,
SKUT2,Domestic,,3092.554365079365,
SKUT3,Domestic,,2185.26626984127,
SKUT4,Domestic,,1954.7742063492065,
SKUD1,Domestic,,4421.0055555555555,
SKUD2,Domestic,,2730.968253968254,
SKUD3,Domestic,,3860.8380952380953,
SKUC1,Domestic,,4779.8761904761905,
SKUC2,Domestic,,3858.443253968254,
SKUE1,International,,3270.7956349206347,
SKUE2,International,,3659.4563492063494,
SKUE3,International,67968.0,425.08531746031747,159.89260792651334
