s,level,marginal,lower,upper,scale
SKUW1,3801260.9729415574,0.0,0.0,inf,1.0
SKUW2,0.0,0.0,0.0,inf,1.0
SKUW3,0.0,0.0,0.0,inf,1.0
SKUA1,0.0,0.0,0.0,inf,1.0
SKUA2,5129.598142983545,0.0,0.0,inf,1.0
SKUA3,472602.4818647942,0.0,0.0,inf,1.0
SKUT1,0.0,0.0,0.0,inf,1.0
SKUT2,0.0,0.0,0.0,inf,1.0
SKUT3,0.0,0.0,0.0,inf,1.0
SKUT4,0.0,0.0,0.0,inf,1.0
SKUD1,0.0,0.0,0.0,inf,1.0
SKUD2,0.0,0.0,0.0,inf,1.0
SKUD3,0.0,0.0,0.0,inf,1.0
SKUC1,0.0,0.0,0.0,inf,1.0
SKUC2,0.0,0.0,0.0,inf,1.0
SKUE1,0.0,0.0,0.0,inf,1.0
SKUE2,0.0,0.0,0.0,inf,1.0
SKUE3,10073.234299370923,0.0,0.0,inf,1.0
