s,st,level,marginal,lower,upper,scale
SKUW1,Bins,18704.557192880748,0.0,0.0,inf,1.0
SKUW1,Racking,0.0,0.0,0.0,inf,1.0
SKUW1,Pallet,94.50357142857169,0.0,0.0,inf,1.0
SKUW1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUW2,Bins,30123.7260463875,0.0,0.0,inf,1.0
SKUW2,Racking,0.0,0.0,0.0,inf,1.0
SKUW2,Pallet,0.0,0.0,0.0,inf,1.0
SKUW2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUW3,Bins,24215.906304277192,0.0,0.0,inf,1.0
SKUW3,Racking,0.0,0.0,0.0,inf,1.0
SKUW3,Pallet,0.0,0.0,0.0,inf,1.0
SKUW3,Hazmat,0.0,0.0,0.0,inf,1.0
SKUA1,Bins,0.0,0.0,0.0,inf,1.0
SKUA1,Racking,0.0,0.0,0.0,inf,1.0
SKUA1,Pallet,0.0,0.0,0.0,inf,1.0
SKUA1,Hazmat,8659.25099752887,0.0,0.0,inf,1.0
SKUA2,Bins,0.0,0.0,0.0,inf,1.0
SKUA2,Racking,0.0,0.0,0.0,inf,1.0
SKUA2,Pallet,0.0,0.0,0.0,inf,1.0
SKUA2,Hazmat,14304.758192948717,0.0,0.0,inf,1.0
SKUA3,Bins,0.0,0.0,0.0,inf,1.0
SKUA3,Racking,26121.262396294722,0.0,0.0,inf,1.0
SKUA3,Pallet,0.0,0.0,0.0,inf,1.0
SKUA3,Hazmat,0.0,0.0,0.0,inf,1.0
SKUT1,Bins,0.0,0.0,0.0,inf,1.0
SKUT1,Racking,18772.727942788373,0.0,0.0,inf,1.0
SKUT1,Pallet,0.0,0.0,0.0,inf,1.0
SKUT1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUT2,Bins,0.0,0.0,0.0,inf,1.0
SKUT2,Racking,0.0,0.0,0.0,inf,1.0
SKUT2,Pallet,24067.71815244428,0.0,0.0,inf,1.0
SKUT2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUT3,Bins,0.0,0.0,0.0,inf,1.0
SKUT3,Racking,0.0,0.0,0.0,inf,1.0
SKUT3,Pallet,17006.773838633242,0.0,0.0,inf,1.0
SKUT3,Hazmat,0.0,0.0,0.0,inf,1.0
SKUT4,Bins,0.0,0.0,0.0,inf,1.0
SKUT4,Racking,15212.97577864019,0.0,0.0,inf,1.0
SKUT4,Pallet,0.0,0.0,0.0,inf,1.0
SKUT4,Hazmat,0.0,0.0,0.0,inf,1.0
SKUD1,Bins,0.0,0.0,0.0,inf,1.0
SKUD1,Racking,34169.94103017706,0.0,0.0,inf,1.0
SKUD1,Pallet,236.41148636773252,0.0,0.0,inf,1.0
SKUD1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUD2,Bins,0.0,0.0,0.0,inf,1.0
SKUD2,Racking,0.0,0.0,0.0,inf,1.0
SKUD2,Pallet,21253.684320630193,0.0,0.0,inf,1.0
SKUD2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUD3,Bins,0.0,0.0,0.0,inf,1.0
SKUD3,Racking,0.0,0.0,0.0,inf,1.0
SKUD3,Pallet,30046.8648692704,0.0,0.0,inf,1.0
SKUD3,Hazmat,0.0,0.0,0.0,inf,1.0
SKUC1,Bins,0.0,0.0,0.0,inf,1.0
SKUC1,Racking,36964.36588678083,0.0,0.0,inf,1.0
SKUC1,Pallet,234.8873438097418,0.0,0.0,inf,1.0
SKUC1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUC2,Bins,0.0,0.0,0.0,inf,1.0
SKUC2,Racking,0.0,0.0,0.0,inf,1.0
SKUC2,Pallet,30028.227083834503,0.0,0.0,inf,1.0
SKUC2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUE1,Bins,25454.875867152045,0.0,0.0,inf,1.0
SKUE1,Racking,0.0,0.0,0.0,inf,1.0
SKUE1,Pallet,0.0,0.0,0.0,inf,1.0
SKUE1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUE2,Bins,0.0,0.0,0.0,inf,1.0
SKUE2,Racking,0.0,0.0,0.0,inf,1.0
SKUE2,Pallet,28479.617043566694,0.0,0.0,inf,1.0
SKUE2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUE3,Bins,0.0,0.0,0.0,inf,1.0
SKUE3,Racking,0.0,0.0,0.0,inf,1.0
SKUE3,Pallet,3308.2146354166484,0.0,0.0,inf,1.0
SKUE3,Hazmat,0.0,0.0,0.0,inf,1.0
