s,level,marginal,lower,upper,scale
SKUW1,163.431914700829,0.0,0.0,inf,1.0
SKUW2,163.431914700829,0.0,0.0,inf,1.0
SKUW3,163.431914700829,0.0,0.0,inf,1.0
SKUA1,163.431914700829,0.0,0.0,inf,1.0
SKUA2,163.431914700829,0.0,0.0,inf,1.0
SKUA3,163.431914700829,0.0,0.0,inf,1.0
SKUT1,163.4319147008293,0.0,0.0,inf,1.0
SKUT2,163.43191470083084,0.0,0.0,inf,1.0
SKUT3,163.4319147008293,0.0,0.0,inf,1.0
SKUT4,163.431914700829,0.0,0.0,inf,1.0
SKUD1,163.4319147008278,0.0,0.0,inf,1.0
SKUD2,163.4319147008364,0.0,0.0,inf,1.0
SKUD3,163.431914700829,0.0,0.0,inf,1.0
SKUC1,163.43191470082374,0.0,0.0,inf,1.0
SKUC2,163.431914700829,0.0,0.0,inf,1.0
SKUE1,163.431914700829,0.0,0.0,inf,1.0
SKUE2,163.431914700829,0.0,0.0,inf,1.0
SKUE3,163.431914700829,0.0,0.0,inf,1.0
