s,level,marginal,lower,upper,scale
SKUW1,13485714.285714228,0.0,0.0,inf,1.0
SKUW2,9523809.523809537,0.0,0.0,inf,1.0
SKUW3,8142857.142857136,0.0,0.0,inf,1.0
SKUA1,0.0,0.0,0.0,inf,1.0
SKUA2,0.0,-0.0,0.0,inf,1.0
SKUA3,6904761.904761931,0.0,0.0,inf,1.0
SKUT1,203571.4285714278,0.0,0.0,inf,1.0
SKUT2,4571428.571428585,0.0,0.0,inf,1.0
SKUT3,4825396.82539684,0.0,0.0,inf,1.0
SKUT4,244047.61904761803,0.0,0.0,inf,1.0
SKUD1,142857.14285714328,0.0,0.0,inf,1.0
SKUD2,67460.31746031764,0.0,0.0,inf,1.0
SKUD3,62301.58730158746,0.0,0.0,inf,1.0
SKUC1,130158.73015873051,0.0,0.0,inf,1.0
SKUC2,1561904.761904756,0.0,0.0,inf,1.0
SKUE1,6944444.444444471,0.0,0.0,inf,1.0
SKUE2,5071428.571428584,0.0,0.0,inf,1.0
SKUE3,1619047.6190476129,0.0,0.0,inf,1.0
