s,st,level,marginal,lower,upper,scale
SKUW1,Bins,13485714.285714228,0.0,0.0,inf,1.0
SKUW1,Racking,0.0,0.0,0.0,inf,1.0
SKUW1,Pallet,0.0,0.0,0.0,inf,1.0
SKUW1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUW2,Bins,9523809.523809537,0.0,0.0,inf,1.0
SKUW2,Racking,0.0,0.0,0.0,inf,1.0
SKUW2,Pallet,0.0,0.0,0.0,inf,1.0
SKUW2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUW3,Bins,8142857.142857136,0.0,0.0,inf,1.0
SKUW3,Racking,0.0,0.0,0.0,inf,1.0
SKUW3,Pallet,0.0,0.0,0.0,inf,1.0
SKUW3,Hazmat,0.0,0.0,0.0,inf,1.0
SKUA1,Bins,0.0,0.0,0.0,inf,1.0
SKUA1,Racking,0.0,0.0,0.0,inf,1.0
SKUA1,Pallet,0.0,0.0,0.0,inf,1.0
SKUA1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUA2,Bins,0.0,0.0,0.0,inf,1.0
SKUA2,Racking,0.0,0.0,0.0,inf,1.0
SKUA2,Pallet,0.0,0.0,0.0,inf,1.0
SKUA2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUA3,Bins,0.0,0.0,0.0,inf,1.0
SKUA3,Racking,6904761.904761931,0.0,0.0,inf,1.0
SKUA3,Pallet,0.0,0.0,0.0,inf,1.0
SKUA3,Hazmat,0.0,0.0,0.0,inf,1.0
SKUT1,Bins,0.0,0.0,0.0,inf,1.0
SKUT1,Racking,203571.4285714278,0.0,0.0,inf,1.0
SKUT1,Pallet,0.0,0.0,0.0,inf,1.0
SKUT1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUT2,Bins,0.0,0.0,0.0,inf,1.0
SKUT2,Racking,0.0,0.0,0.0,inf,1.0
SKUT2,Pallet,4571428.571428585,0.0,0.0,inf,1.0
SKUT2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUT3,Bins,0.0,0.0,0.0,inf,1.0
SKUT3,Racking,0.0,0.0,0.0,inf,1.0
SKUT3,Pallet,4825396.82539684,0.0,0.0,inf,1.0
SKUT3,Hazmat,0.0,0.0,0.0,inf,1.0
SKUT4,Bins,0.0,0.0,0.0,inf,1.0
SKUT4,Racking,244047.61904761803,0.0,0.0,inf,1.0
SKUT4,Pallet,0.0,0.0,0.0,inf,1.0
SKUT4,Hazmat,0.0,0.0,0.0,inf,1.0
SKUD1,Bins,0.0,0.0,0.0,inf,1.0
SKUD1,Racking,71428.57142857164,0.0,0.0,inf,1.0
SKUD1,Pallet,71428.57142857164,0.0,0.0,inf,1.0
SKUD1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUD2,Bins,0.0,0.0,0.0,inf,1.0
SKUD2,Racking,0.0,0.0,0.0,inf,1.0
SKUD2,Pallet,67460.31746031764,0.0,0.0,inf,1.0
SKUD2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUD3,Bins,0.0,0.0,0.0,inf,1.0
SKUD3,Racking,0.0,0.0,0.0,inf,1.0
SKUD3,Pallet,62301.58730158746,0.0,0.0,inf,1.0
SKUD3,Hazmat,0.0,0.0,0.0,inf,1.0
SKUC1,Bins,0.0,0.0,0.0,inf,1.0
SKUC1,Racking,65079.365079365256,0.0,0.0,inf,1.0
SKUC1,Pallet,65079.365079365256,0.0,0.0,inf,1.0
SKUC1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUC2,Bins,0.0,0.0,0.0,inf,1.0
SKUC2,Racking,0.0,0.0,0.0,inf,1.0
SKUC2,Pallet,1561904.761904756,0.0,0.0,inf,1.0
SKUC2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUE1,Bins,6944444.444444471,0.0,0.0,inf,1.0
SKUE1,Racking,0.0,0.0,0.0,inf,1.0
SKUE1,Pallet,0.0,0.0,0.0,inf,1.0
SKUE1,Hazmat,0.0,0.0,0.0,inf,1.0
SKUE2,Bins,0.0,0.0,0.0,inf,1.0
SKUE2,Racking,0.0,0.0,0.0,inf,1.0
SKUE2,Pallet,5071428.571428584,0.0,0.0,inf,1.0
SKUE2,Hazmat,0.0,0.0,0.0,inf,1.0
SKUE3,Bins,0.0,0.0,0.0,inf,1.0
SKUE3,Racking,0.0,0.0,0.0,inf,1.0
SKUE3,Pallet,1619047.6190476129,0.0,0.0,inf,1.0
SKUE3,Hazmat,0.0,0.0,0.0,inf,1.0
