s,level,marginal,lower,upper,scale
SKUW1,5611.049461407583,0.0,0.0,inf,1.0
SKUW2,2460.4785630805227,0.0,0.0,inf,1.0
SKUW3,2616.9393771709765,0.0,0.0,inf,1.0
SKUA1,0.0,0.0,0.0,inf,1.0
SKUA2,0.0,-0.0,0.0,inf,1.0
SKUA3,2057.179176995921,0.0,0.0,inf,1.0
SKUT1,84.39311398252389,0.0,0.0,inf,1.0
SKUT2,1478.2047562521238,0.0,0.0,inf,1.0
SKUT3,2208.150508700864,0.0,0.0,inf,1.0
SKUT4,124.84696097121545,0.0,0.0,inf,1.0
SKUD1,32.31326924654621,0.0,0.0,inf,1.0
SKUD2,24.701977901901248,0.0,0.0,inf,1.0
SKUD3,16.136803917892696,0.0,0.0,inf,1.0
SKUC1,27.230565180342793,0.0,0.0,inf,1.0
SKUC2,404.80179676049397,0.0,0.0,inf,1.0
SKUE1,2123.1667213634937,0.0,0.0,inf,1.0
SKUE2,1385.842072560439,0.0,0.0,inf,1.0
SKUE3,3808.7592126697114,0.0,0.0,inf,1.0
