Month,SKU,Facility,Excess_Inventory,Marginal,Lower,Upper,Scale
115,SKUE2,Austin,160710.0,0.0,0.0,inf,1.0
103,SKUE2,Austin,138405.0,0.0,0.0,inf,1.0
116,SKUE2,Austin,128987.0,0.0,0.0,inf,1.0
104,SKUE2,Austin,122904.0,0.0,0.0,inf,1.0
91,SKUE2,Austin,121893.0,0.0,0.0,inf,1.0
113,SKUE2,Austin,116531.0,0.0,0.0,inf,1.0
114,SKUE2,Austin,115109.0,0.0,0.0,inf,1.0
79,SKUE2,Austin,112401.0,0.0,0.0,inf,1.0
78,SKUE2,Austin,112082.0,0.0,0.0,inf,1.0
102,SKUE2,Austin,109694.0,0.0,0.0,inf,1.0
118,SKUE2,Austin,106789.0,0.0,0.0,inf,1.0
67,SKUE2,Austin,105385.0,0.0,0.0,inf,1.0
101,SKUE2,Austin,104228.0,0.0,0.0,inf,1.0
106,SKUE2,Austin,102248.0,0.0,0.0,inf,1.0
117,SKUE2,Austin,101486.0,0.0,0.0,inf,1.0
80,SKUE2,Austin,101354.0,0.0,0.0,inf,1.0
112,SKUE2,Austin,100882.0,0.0,0.0,inf,1.0
111,SKUE2,Austin,100498.0,0.0,0.0,inf,1.0
90,SKUE2,Austin,100366.0,0.0,0.0,inf,1.0
66,SKUE2,Austin,99666.0,0.0,0.0,inf,1.0
100,SKUE2,Austin,98070.0,0.0,0.0,inf,1.0
119,SKUE2,Austin,97888.0,0.0,0.0,inf,1.0
44,SKUE2,Austin,96808.0,0.0,0.0,inf,1.0
94,SKUE2,Austin,95645.0,0.0,0.0,inf,1.0
55,SKUE2,Austin,94816.0,0.0,0.0,inf,1.0
92,SKUE2,Austin,93937.0,0.0,0.0,inf,1.0
115,SKUT2,Austin,93369.83333333334,0.0,0.0,inf,1.0
89,SKUE2,Austin,92494.0,0.0,0.0,inf,1.0
68,SKUE2,Austin,92282.0,0.0,0.0,inf,1.0
88,SKUE2,Austin,91667.0,0.0,0.0,inf,1.0
110,SKUE2,Austin,91121.0,0.0,0.0,inf,1.0
77,SKUE2,Austin,91069.0,0.0,0.0,inf,1.0
120,SKUE2,Austin,90858.0,0.0,0.0,inf,1.0
56,SKUE2,Austin,90667.0,0.0,0.0,inf,1.0
99,SKUE2,Austin,89422.0,0.0,0.0,inf,1.0
105,SKUE2,Austin,88466.0,0.0,0.0,inf,1.0
32,SKUE2,Austin,88022.0,0.0,0.0,inf,1.0
54,SKUE2,Austin,87541.0,0.0,0.0,inf,1.0
108,SKUE2,Austin,87104.0,0.0,0.0,inf,1.0
107,SKUE2,Austin,86918.0,0.0,0.0,inf,1.0
82,SKUE2,Austin,86700.0,0.0,0.0,inf,1.0
93,SKUE2,Austin,85749.0,0.0,0.0,inf,1.0
98,SKUE2,Austin,85747.0,0.0,0.0,inf,1.0
69,SKUE2,Austin,84483.0,0.0,0.0,inf,1.0
81,SKUE2,Austin,84422.0,0.0,0.0,inf,1.0
87,SKUE2,Austin,83229.0,0.0,0.0,inf,1.0
109,SKUE2,Austin,83208.0,0.0,0.0,inf,1.0
96,SKUE2,Austin,82656.0,0.0,0.0,inf,1.0
95,SKUE2,Austin,81718.0,0.0,0.0,inf,1.0
97,SKUE2,Austin,80860.0,0.0,0.0,inf,1.0
20,SKUE2,Austin,80521.0,0.0,0.0,inf,1.0
76,SKUE2,Austin,80017.0,0.0,0.0,inf,1.0
115,SKUD1,Sacramento,79624.4761904762,0.0,0.0,inf,1.0
43,SKUE2,Austin,78395.0,0.0,0.0,inf,1.0
65,SKUE2,Austin,78029.0,0.0,0.0,inf,1.0
64,SKUE2,Austin,78018.0,0.0,0.0,inf,1.0
83,SKUE2,Austin,77685.0,0.0,0.0,inf,1.0
75,SKUE2,Austin,77633.0,0.0,0.0,inf,1.0
86,SKUE2,Austin,77510.0,0.0,0.0,inf,1.0
85,SKUE2,Austin,76934.0,0.0,0.0,inf,1.0
53,SKUE2,Austin,76587.0,0.0,0.0,inf,1.0
70,SKUE2,Austin,76290.0,0.0,0.0,inf,1.0
31,SKUE2,Austin,76203.0,0.0,0.0,inf,1.0
57,SKUE2,Austin,75364.0,0.0,0.0,inf,1.0
115,SKUD3,Columbus,75283.92857142855,0.0,0.0,inf,1.0
74,SKUE2,Austin,74230.0,0.0,0.0,inf,1.0
91,SKUT2,Austin,73700.83333333334,0.0,0.0,inf,1.0
103,SKUD1,Sacramento,72931.04761904762,0.0,0.0,inf,1.0
103,SKUT2,Austin,72742.83333333334,0.0,0.0,inf,1.0
63,SKUE2,Austin,72508.0,0.0,0.0,inf,1.0
84,SKUE2,Austin,72494.0,0.0,0.0,inf,1.0
42,SKUE2,Austin,72329.0,0.0,0.0,inf,1.0
79,SKUT2,Austin,71803.83333333334,0.0,0.0,inf,1.0
115,SKUT3,Austin,71432.83333333333,0.0,0.0,inf,1.0
62,SKUE2,Austin,71095.0,0.0,0.0,inf,1.0
52,SKUE2,Austin,70773.0,0.0,0.0,inf,1.0
33,SKUE2,Austin,70467.0,0.0,0.0,inf,1.0
73,SKUE2,Austin,70391.0,0.0,0.0,inf,1.0
58,SKUE2,Austin,70039.0,0.0,0.0,inf,1.0
71,SKUE2,Austin,69750.0,0.0,0.0,inf,1.0
45,SKUE2,Austin,69122.0,0.0,0.0,inf,1.0
113,SKUT2,Austin,68467.83333333334,0.0,0.0,inf,1.0
41,SKUE2,Austin,68107.0,0.0,0.0,inf,1.0
104,SKUT2,Austin,68081.83333333334,0.0,0.0,inf,1.0
51,SKUE2,Austin,67973.0,0.0,0.0,inf,1.0
72,SKUE2,Austin,67534.0,0.0,0.0,inf,1.0
60,SKUE2,Austin,67341.0,0.0,0.0,inf,1.0
8,SKUE2,Austin,66820.0,0.0,0.0,inf,1.0
19,SKUE2,Austin,65291.0,0.0,0.0,inf,1.0
50,SKUE2,Austin,65271.0,0.0,0.0,inf,1.0
59,SKUE2,Austin,64943.0,0.0,0.0,inf,1.0
46,SKUE2,Austin,64527.0,0.0,0.0,inf,1.0
47,SKUE2,Austin,62403.0,0.0,0.0,inf,1.0
115,SKUC2,Sacramento,62124.0,0.0,0.0,inf,1.0
61,SKUE2,Austin,61741.0,0.0,0.0,inf,1.0
103,SKUD3,Columbus,61375.02380952379,0.0,0.0,inf,1.0
21,SKUE2,Austin,60578.0,0.0,0.0,inf,1.0
40,SKUE2,Austin,60388.0,0.0,0.0,inf,1.0
30,SKUE2,Austin,60270.0,0.0,0.0,inf,1.0
78,SKUT2,Austin,60232.833333333336,0.0,0.0,inf,1.0
103,SKUT3,Austin,60062.83333333333,0.0,0.0,inf,1.0
34,SKUE2,Austin,59995.0,0.0,0.0,inf,1.0
48,SKUE2,Austin,59869.0,0.0,0.0,inf,1.0
29,SKUE2,Austin,59752.0,0.0,0.0,inf,1.0
18,SKUE2,Austin,59378.0,0.0,0.0,inf,1.0
116,SKUT2,Austin,59218.833333333336,0.0,0.0,inf,1.0
49,SKUE2,Austin,58753.0,0.0,0.0,inf,1.0
28,SKUE2,Austin,58424.0,0.0,0.0,inf,1.0
39,SKUE2,Austin,57383.0,0.0,0.0,inf,1.0
9,SKUE2,Austin,57133.0,0.0,0.0,inf,1.0
38,SKUE2,Austin,57007.0,0.0,0.0,inf,1.0
